Artikelcode;Onderdeel;Positie;Diameter 1;Diameter 2;Bouwgroep;Enkel / Dubbel;Materiaal;Materiaalcode;Serie;Variant / specificatie;Status
100A PA;Beugel;2;0;;1A;Enkel;Polyamide;PA;Licht (standaard);;OK
10168 AL;Beugel;2;168;;10;Enkel;Aluminium;AL;Zwaar;;OK
10168 PA;Beugel;2;168;;10;Enkel;Polyamide;PA;Zwaar;;OK
10168 PP;Beugel;2;168;;10;Enkel;Polypropyleen;PP;Zwaar;;OK
10177,8 PP;Beugel;2;177,8;;10;Enkel;Polypropyleen;PP;Zwaar;;OK
10190 PP;Beugel;2;190;;10;Enkel;Polypropyleen;PP;Zwaar;;OK
10193,7 PP;Beugel;2;193,7;;10;Enkel;Polypropyleen;PP;Zwaar;;OK
10219 AL;Beugel;2;219;;10;Enkel;Aluminium;AL;Zwaar;;OK
10219 PA;Beugel;2;219;;10;Enkel;Polyamide;PA;Zwaar;;OK
10219 PP;Beugel;2;219;;10;Enkel;Polypropyleen;PP;Zwaar;;OK
10219.1 PP;Beugel;2;219.1;;10;Enkel;Polypropyleen;PP;Zwaar;;OK
10220 PP;Beugel;2;220;;10;Enkel;Polypropyleen;PP;Zwaar;;OK
103,2 PA;Beugel;2;3,2;;1;Enkel;Polyamide;PA;Licht (standaard);;OK
103,2 PP;Beugel;2;3,2;;1;Enkel;Polypropyleen;PP;Licht (standaard);;OK
103,2/03,2 PA;Beugel;2;3,2;3,2;1;Dubbel;Polyamide;PA;Licht (standaard);;OK
103,2/03,2 PP;Beugel;2;3,2;3,2;1;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
103,2A PA;Beugel;2;3,2;;1A;Enkel;Polyamide;PA;Licht (standaard);;OK
103/03 PA;Beugel;2;3;3;1;Dubbel;Polyamide;PA;Licht (standaard);;OK
105 PP;Beugel;2;5;;1;Enkel;Polypropyleen;PP;Licht (standaard);;OK
106 PA;Beugel;2;6;;1;Enkel;Polyamide;PA;Licht (standaard);;OK
106 PP;Beugel;2;6;;1;Enkel;Polypropyleen;PP;Licht (standaard);;OK
106 PPH;Beugel;2;6;;1;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
106 SA;Beugel;2;6;;1;Enkel;SA / elastomeer;SA;Licht (standaard);;OK
106,4 PA;Beugel;2;6,4;;1;Enkel;Polyamide;PA;Licht (standaard);;OK
106,4 PAH;Beugel;2;6,4;;1;Enkel;Polyamide;PAH;Licht (standaard);;OK
106,4 PP;Beugel;2;6,4;;1;Enkel;Polypropyleen;PP;Licht (standaard);;OK
106,4 PPH;Beugel;2;6,4;;1;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
106,4/06,4 ACT;Beugel;2;6,4;6,4;1;Dubbel;ACT;ACT;Licht (standaard);;OK
106,4/06,4 PA;Beugel;2;6,4;6,4;1;Dubbel;Polyamide;PA;Licht (standaard);;OK
106,4/06,4 PAH;Beugel;2;6,4;6,4;1;Dubbel;Polyamide;PAH;Licht (standaard);;OK
106,4/06,4 PP;Beugel;2;6,4;6,4;1;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
106,4/06,4 PP ACHV;Beugel;2;6,4;6,4;1;Dubbel;Polypropyleen;PP;Licht (standaard);ACHV;OK
106,4A ACT;Beugel;2;6,4;;1A;Enkel;ACT;ACT;Licht (standaard);;OK
106,4A AL;Beugel;2;6,4;;1A;Enkel;Aluminium;AL;Licht (standaard);;OK
106,4A PA;Beugel;2;6,4;;1A;Enkel;Polyamide;PA;Licht (standaard);;OK
106,4A PAH;Beugel;2;6,4;;1A;Enkel;Polyamide;PAH;Licht (standaard);;OK
106,4A PP;Beugel;2;6,4;;1A;Enkel;Polypropyleen;PP;Licht (standaard);;OK
106,4A PP ACHV;Beugel;2;6,4;;1A;Enkel;Polypropyleen;PP;Licht (standaard);ACHV;OK
106,4A PPH;Beugel;2;6,4;;1A;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
106/06 ACT;Beugel;2;6;6;1;Dubbel;ACT;ACT;Licht (standaard);;OK
106/06 PA;Beugel;2;6;6;1;Dubbel;Polyamide;PA;Licht (standaard);;OK
106/06 PA V0;Beugel;2;6;6;1;Dubbel;Polyamide;PA;Licht (standaard);V0;OK
106/06 PP;Beugel;2;6;6;1;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
106/06 PP-BK;Beugel;2;6;6;1;Dubbel;Polypropyleen;PP-BK;Licht (standaard);;OK
106A ACT;Beugel;2;6;;1A;Enkel;ACT;ACT;Licht (standaard);;OK
106A AL;Beugel;2;6;;1A;Enkel;Aluminium;AL;Licht (standaard);;OK
106A PA;Beugel;2;6;;1A;Enkel;Polyamide;PA;Licht (standaard);;OK
106A PA V0;Beugel;2;6;;1A;Enkel;Polyamide;PA;Licht (standaard);V0;OK
106A PP;Beugel;2;6;;1A;Enkel;Polypropyleen;PP;Licht (standaard);;OK
106A PPH;Beugel;2;6;;1A;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
108 PA;Beugel;2;8;;1;Enkel;Polyamide;PA;Licht (standaard);;OK
108 PP;Beugel;2;8;;1;Enkel;Polypropyleen;PP;Licht (standaard);;OK
108 PPH;Beugel;2;8;;1;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
108.7/08.7 PP;Beugel;2;8.7;8.7;1;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
108/06 PP;Beugel;2;8;6;1;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
108/08 PA;Beugel;2;8;8;1;Dubbel;Polyamide;PA;Licht (standaard);;OK
108/08 PP;Beugel;2;8;8;1;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
108/08 PP-BK;Beugel;2;8;8;1;Dubbel;Polypropyleen;PP-BK;Licht (standaard);;OK
108A ACT;Beugel;2;8;;1A;Enkel;ACT;ACT;Licht (standaard);;OK
108A AL;Beugel;2;8;;1A;Enkel;Aluminium;AL;Licht (standaard);;OK
108A PA;Beugel;2;8;;1A;Enkel;Polyamide;PA;Licht (standaard);;OK
108A PAH;Beugel;2;8;;1A;Enkel;Polyamide;PAH;Licht (standaard);;OK
108A PP;Beugel;2;8;;1A;Enkel;Polypropyleen;PP;Licht (standaard);;OK
108A PP-BK;Beugel;2;8;;1A;Enkel;Polypropyleen;PP-BK;Licht (standaard);;OK
108A PPH;Beugel;2;8;;1A;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
108A SA;Beugel;2;8;;1A;Enkel;SA / elastomeer;SA;Licht (standaard);;OK
108A SAH;Beugel;2;8;;1A;Enkel;SA / elastomeer;SAH;Licht (standaard);;OK
109,5 PA;Beugel;2;9,5;;1;Enkel;Polyamide;PA;Licht (standaard);;OK
109,5 PAH;Beugel;2;9,5;;1;Enkel;Polyamide;PAH;Licht (standaard);;OK
109,5 PP;Beugel;2;9,5;;1;Enkel;Polypropyleen;PP;Licht (standaard);;OK
109,5 PPH;Beugel;2;9,5;;1;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
109,5/09,5 ACT;Beugel;2;9,5;9,5;1;Dubbel;ACT;ACT;Licht (standaard);;OK
109,5/09,5 PA;Beugel;2;9,5;9,5;1;Dubbel;Polyamide;PA;Licht (standaard);;OK
109,5/09,5 PAH;Beugel;2;9,5;9,5;1;Dubbel;Polyamide;PAH;Licht (standaard);;OK
109,5/09,5 PP;Beugel;2;9,5;9,5;1;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
109,5/09,5 PP ACHV;Beugel;2;9,5;9,5;1;Dubbel;Polypropyleen;PP;Licht (standaard);ACHV;OK
109,5/09,5 PPH;Beugel;2;9,5;9,5;1;Dubbel;Polypropyleen;PPH;Licht (standaard);;OK
109,5/09,5 PPH-BK;Beugel;2;9,5;9,5;1;Dubbel;Polypropyleen;PPH-BK;Licht (standaard);;OK
109,5A ACT;Beugel;2;9,5;;1A;Enkel;ACT;ACT;Licht (standaard);;OK
109,5A AL;Beugel;2;9,5;;1A;Enkel;Aluminium;AL;Licht (standaard);;OK
109,5A PA;Beugel;2;9,5;;1A;Enkel;Polyamide;PA;Licht (standaard);;OK
109,5A PAH;Beugel;2;9,5;;1A;Enkel;Polyamide;PAH;Licht (standaard);;OK
109,5A PP;Beugel;2;9,5;;1A;Enkel;Polypropyleen;PP;Licht (standaard);;OK
109,5A PP ACHV;Beugel;2;9,5;;1A;Enkel;Polypropyleen;PP;Licht (standaard);ACHV;OK
109,5A PPH;Beugel;2;9,5;;1A;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
110 PA;Beugel;2;10;;1;Enkel;Polyamide;PA;Licht (standaard);;OK
110 PAH;Beugel;2;10;;1;Enkel;Polyamide;PAH;Licht (standaard);;OK
110 PP;Beugel;2;10;;1;Enkel;Polypropyleen;PP;Licht (standaard);;OK
110 SA;Beugel;2;10;;1;Enkel;SA / elastomeer;SA;Licht (standaard);;OK
110 SAH;Beugel;2;10;;1;Enkel;SA / elastomeer;SAH;Licht (standaard);;OK
110/10 ACT;Beugel;2;10;10;1;Dubbel;ACT;ACT;Licht (standaard);;OK
110/10 PA;Beugel;2;10;10;1;Dubbel;Polyamide;PA;Licht (standaard);;OK
110/10 PA V0;Beugel;2;10;10;1;Dubbel;Polyamide;PA;Licht (standaard);V0;OK
110/10 PAH;Beugel;2;10;10;1;Dubbel;Polyamide;PAH;Licht (standaard);;OK
110/10 PP;Beugel;2;10;10;1;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
110/10 PPH;Beugel;2;10;10;1;Dubbel;Polypropyleen;PPH;Licht (standaard);;OK
110A ACT;Beugel;2;10;;1A;Enkel;ACT;ACT;Licht (standaard);;OK
110A AL;Beugel;2;10;;1A;Enkel;Aluminium;AL;Licht (standaard);;OK
110A PA;Beugel;2;10;;1A;Enkel;Polyamide;PA;Licht (standaard);;OK
110A PA V0;Beugel;2;10;;1A;Enkel;Polyamide;PA;Licht (standaard);V0;OK
110A PAH;Beugel;2;10;;1A;Enkel;Polyamide;PAH;Licht (standaard);;OK
110A PP;Beugel;2;10;;1A;Enkel;Polypropyleen;PP;Licht (standaard);;OK
110A PP-BK;Beugel;2;10;;1A;Enkel;Polypropyleen;PP-BK;Licht (standaard);;OK
110A PPH;Beugel;2;10;;1A;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
110A SA;Beugel;2;10;;1A;Enkel;SA / elastomeer;SA;Licht (standaard);;OK
110A SAH;Beugel;2;10;;1A;Enkel;SA / elastomeer;SAH;Licht (standaard);;OK
112 PA;Beugel;2;12;;1;Enkel;Polyamide;PA;Licht (standaard);;OK
112 PAH;Beugel;2;12;;1;Enkel;Polyamide;PAH;Licht (standaard);;OK
112 PP;Beugel;2;12;;1;Enkel;Polypropyleen;PP;Licht (standaard);;OK
112 PP-BK;Beugel;2;12;;1;Enkel;Polypropyleen;PP-BK;Licht (standaard);;OK
112 PPH;Beugel;2;12;;1;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
112 SA;Beugel;2;12;;1;Enkel;SA / elastomeer;SA;Licht (standaard);;OK
112,7 PA;Beugel;2;12,7;;1;Enkel;Polyamide;PA;Licht (standaard);;OK
112,7 PAH;Beugel;2;12,7;;1;Enkel;Polyamide;PAH;Licht (standaard);;OK
112,7 PP;Beugel;2;12,7;;1;Enkel;Polypropyleen;PP;Licht (standaard);;OK
112,7/12,7 PP;Beugel;2;12,7;12,7;1;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
112/12 ACT;Beugel;2;12;12;1;Dubbel;ACT;ACT;Licht (standaard);;OK
112/12 PA;Beugel;2;12;12;1;Dubbel;Polyamide;PA;Licht (standaard);;OK
112/12 PA V0;Beugel;2;12;12;1;Dubbel;Polyamide;PA;Licht (standaard);V0;OK
112/12 PAH;Beugel;2;12;12;1;Dubbel;Polyamide;PAH;Licht (standaard);;OK
112/12 PP;Beugel;2;12;12;1;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
112/12 PP-BK;Beugel;2;12;12;1;Dubbel;Polypropyleen;PP-BK;Licht (standaard);;OK
112/12 PPH;Beugel;2;12;12;1;Dubbel;Polypropyleen;PPH;Licht (standaard);;OK
11219 PP;Beugel;2;1219;;1;Enkel;Polypropyleen;PP;Zwaar;;OK
11273 PP;Beugel;2;1273;;1;Enkel;Polypropyleen;PP;Zwaar;;OK
112A ACT;Beugel;2;12;;1A;Enkel;ACT;ACT;Licht (standaard);;OK
112A AL;Beugel;2;12;;1A;Enkel;Aluminium;AL;Licht (standaard);;OK
112A PA;Beugel;2;12;;1A;Enkel;Polyamide;PA;Licht (standaard);;OK
112A PA V0;Beugel;2;12;;1A;Enkel;Polyamide;PA;Licht (standaard);V0;OK
112A PA-FF;Beugel;2;12;;1A;Enkel;Polyamide;PA-FF;Licht (standaard);;OK
112A PAH;Beugel;2;12;;1A;Enkel;Polyamide;PAH;Licht (standaard);;OK
112A PP;Beugel;2;12;;1A;Enkel;Polypropyleen;PP;Licht (standaard);;OK
112A PP-BK;Beugel;2;12;;1A;Enkel;Polypropyleen;PP-BK;Licht (standaard);;OK
112A PPH;Beugel;2;12;;1A;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
112A SA;Beugel;2;12;;1A;Enkel;SA / elastomeer;SA;Licht (standaard);;OK
112A SAH;Beugel;2;12;;1A;Enkel;SA / elastomeer;SAH;Licht (standaard);;OK
11324 PP;Beugel;2;1324;;1;Enkel;Polypropyleen;PP;Zwaar;;OK
116 PP;Beugel;2;16;;1;Enkel;Polypropyleen;PP;Licht (standaard);;OK
116 PPH-BK-15877;Beugel;2;16;;1;Enkel;Polypropyleen;PPH-BK-15877;Licht (standaard);;OK
12356 PP;Beugel;2;2356;;1;Enkel;Polypropyleen;PP;Zwaar;;OK
200 PP;Beugel;2;0;;2;Enkel;Polypropyleen;PP;Licht (standaard);;OK
210 PP;Beugel;2;10;;2;Enkel;Polypropyleen;PP;Licht (standaard);;OK
212 AL;Beugel;2;12;;2;Enkel;Aluminium;AL;Licht (standaard);;OK
212 PA;Beugel;2;12;;2;Enkel;Polyamide;PA;Licht (standaard);;OK
212 PP;Beugel;2;12;;2;Enkel;Polypropyleen;PP;Licht (standaard);;OK
212,7 ACT;Beugel;2;12,7;;2;Enkel;ACT;ACT;Licht (standaard);;OK
212,7 AL;Beugel;2;12,7;;2;Enkel;Aluminium;AL;Licht (standaard);;OK
212,7 PA;Beugel;2;12,7;;2;Enkel;Polyamide;PA;Licht (standaard);;OK
212,7 PAH;Beugel;2;12,7;;2;Enkel;Polyamide;PAH;Licht (standaard);;OK
212,7 PA-IS M W3;Beugel;2;12,7;;2;Enkel;Polyamide;PA-IS;Licht (standaard);M W3;OK
212,7 PP;Beugel;2;12,7;;2;Enkel;Polypropyleen;PP;Licht (standaard);;OK
212,7 PP ACHV;Beugel;2;12,7;;2;Enkel;Polypropyleen;PP;Licht (standaard);ACHV;OK
212,7 PP-BK;Beugel;2;12,7;;2;Enkel;Polypropyleen;PP-BK;Licht (standaard);;OK
212,7 PPH;Beugel;2;12,7;;2;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
212,7/12,7 ACT;Beugel;2;12,7;12,7;2;Dubbel;ACT;ACT;Licht (standaard);;OK
212,7/12,7 PA;Beugel;2;12,7;12,7;2;Dubbel;Polyamide;PA;Licht (standaard);;OK
212,7/12,7 PAH;Beugel;2;12,7;12,7;2;Dubbel;Polyamide;PAH;Licht (standaard);;OK
212,7/12,7 PP;Beugel;2;12,7;12,7;2;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
212,7/12,7 PP ACHV;Beugel;2;12,7;12,7;2;Dubbel;Polypropyleen;PP;Licht (standaard);ACHV;OK
212,7/12,7 PP-BK;Beugel;2;12,7;12,7;2;Dubbel;Polypropyleen;PP-BK;Licht (standaard);;OK
212,7/12,7 PPH-BK;Beugel;2;12,7;12,7;2;Dubbel;Polypropyleen;PPH-BK;Licht (standaard);;OK
212/12 PP;Beugel;2;12;12;2;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
213,5 AL;Beugel;2;13,5;;2;Enkel;Aluminium;AL;Licht (standaard);;OK
213,5 PA;Beugel;2;13,5;;2;Enkel;Polyamide;PA;Licht (standaard);;OK
213,5 PAH;Beugel;2;13,5;;2;Enkel;Polyamide;PAH;Licht (standaard);;OK
213,5 PP;Beugel;2;13,5;;2;Enkel;Polypropyleen;PP;Licht (standaard);;OK
213,5/13,5 PAH;Beugel;2;13,5;13,5;2;Dubbel;Polyamide;PAH;Licht (standaard);;OK
213,5/13,5 PP;Beugel;2;13,5;13,5;2;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
214 ACT;Beugel;2;14;;2;Enkel;ACT;ACT;Licht (standaard);;OK
214 AL;Beugel;2;14;;2;Enkel;Aluminium;AL;Licht (standaard);;OK
214 PA;Beugel;2;14;;2;Enkel;Polyamide;PA;Licht (standaard);;OK
214 PAH;Beugel;2;14;;2;Enkel;Polyamide;PAH;Licht (standaard);;OK
214 PP;Beugel;2;14;;2;Enkel;Polypropyleen;PP;Licht (standaard);;OK
214,3 ACT;Beugel;2;14,3;;2;Enkel;ACT;ACT;Licht (standaard);;OK
214/14 PA;Beugel;2;14;14;2;Dubbel;Polyamide;PA;Licht (standaard);;OK
214/14 PAH;Beugel;2;14;14;2;Dubbel;Polyamide;PAH;Licht (standaard);;OK
214/14 PP;Beugel;2;14;14;2;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
214/14 PPH;Beugel;2;14;14;2;Dubbel;Polypropyleen;PPH;Licht (standaard);;OK
215 AL;Beugel;2;15;;2;Enkel;Aluminium;AL;Licht (standaard);;OK
215 PA;Beugel;2;15;;2;Enkel;Polyamide;PA;Licht (standaard);;OK
215 PAH;Beugel;2;15;;2;Enkel;Polyamide;PAH;Licht (standaard);;OK
215 PP;Beugel;2;15;;2;Enkel;Polypropyleen;PP;Licht (standaard);;OK
215 PP WH9003;Beugel;2;15;;2;Enkel;Polypropyleen;PP;Licht (standaard);WH9003;OK
215 PP-BK;Beugel;2;15;;2;Enkel;Polypropyleen;PP-BK;Licht (standaard);;OK
215 PPH;Beugel;2;15;;2;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
215 SA;Beugel;2;15;;2;Enkel;SA / elastomeer;SA;Licht (standaard);;OK
215 SAH;Beugel;2;15;;2;Enkel;SA / elastomeer;SAH;Licht (standaard);;OK
215/10 PP;Beugel;2;15;10;2;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
215/12 PA;Beugel;2;15;12;2;Dubbel;Polyamide;PA;Licht (standaard);;OK
215/12 PP;Beugel;2;15;12;2;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
215/15 PA;Beugel;2;15;15;2;Dubbel;Polyamide;PA;Licht (standaard);;OK
215/15 PP;Beugel;2;15;15;2;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
216 ACT;Beugel;2;16;;2;Enkel;ACT;ACT;Licht (standaard);;OK
216 AL;Beugel;2;16;;2;Enkel;Aluminium;AL;Licht (standaard);;OK
216 PA;Beugel;2;16;;2;Enkel;Polyamide;PA;Licht (standaard);;OK
216 PAH;Beugel;2;16;;2;Enkel;Polyamide;PAH;Licht (standaard);;OK
216 PP;Beugel;2;16;;2;Enkel;Polypropyleen;PP;Licht (standaard);;OK
216 PP ACHV;Beugel;2;16;;2;Enkel;Polypropyleen;PP;Licht (standaard);ACHV;OK
216 PP-BK;Beugel;2;16;;2;Enkel;Polypropyleen;PP-BK;Licht (standaard);;OK
216 PPH;Beugel;2;16;;2;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
216 SA;Beugel;2;16;;2;Enkel;SA / elastomeer;SA;Licht (standaard);;OK
216/16 PA;Beugel;2;16;16;2;Dubbel;Polyamide;PA;Licht (standaard);;OK
216/16 PAH;Beugel;2;16;16;2;Dubbel;Polyamide;PAH;Licht (standaard);;OK
216/16 PP;Beugel;2;16;16;2;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
216/16 PP-BK;Beugel;2;16;16;2;Dubbel;Polypropyleen;PP-BK;Licht (standaard);;OK
216/16 PPH;Beugel;2;16;16;2;Dubbel;Polypropyleen;PPH;Licht (standaard);;OK
217,2 PA;Beugel;2;17,2;;2;Enkel;Polyamide;PA;Licht (standaard);;OK
217,2 PAH;Beugel;2;17,2;;2;Enkel;Polyamide;PAH;Licht (standaard);;OK
217,2 PP;Beugel;2;17,2;;2;Enkel;Polypropyleen;PP;Licht (standaard);;OK
217,2 PPH;Beugel;2;17,2;;2;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
217,2/17,2 PA;Beugel;2;17,2;17,2;2;Dubbel;Polyamide;PA;Licht (standaard);;OK
217,2/17,2 PAH;Beugel;2;17,2;17,2;2;Dubbel;Polyamide;PAH;Licht (standaard);;OK
217,2/17,2 PP;Beugel;2;17,2;17,2;2;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
217,2/17,2 PPH;Beugel;2;17,2;17,2;2;Dubbel;Polypropyleen;PPH;Licht (standaard);;OK
218 ACT;Beugel;2;18;;2;Enkel;ACT;ACT;Licht (standaard);;OK
218 AL;Beugel;2;18;;2;Enkel;Aluminium;AL;Licht (standaard);;OK
218 PA;Beugel;2;18;;2;Enkel;Polyamide;PA;Licht (standaard);;OK
218 PAH;Beugel;2;18;;2;Enkel;Polyamide;PAH;Licht (standaard);;OK
218 PP;Beugel;2;18;;2;Enkel;Polypropyleen;PP;Licht (standaard);;OK
218 PP-BK;Beugel;2;18;;2;Enkel;Polypropyleen;PP-BK;Licht (standaard);;OK
218 PPH;Beugel;2;18;;2;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
218 SA;Beugel;2;18;;2;Enkel;SA / elastomeer;SA;Licht (standaard);;OK
218 SA64 H;Beugel;2;18;;2;Enkel;SA / elastomeer;SA64;Licht (standaard);H;OK
218 SAH;Beugel;2;18;;2;Enkel;SA / elastomeer;SAH;Licht (standaard);;OK
218/12 PA;Beugel;2;18;12;2;Dubbel;Polyamide;PA;Licht (standaard);;OK
218/18 PA;Beugel;2;18;18;2;Dubbel;Polyamide;PA;Licht (standaard);;OK
218/18 PAH;Beugel;2;18;18;2;Dubbel;Polyamide;PAH;Licht (standaard);;OK
218/18 PP;Beugel;2;18;18;2;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
218/18 SA;Beugel;2;18;18;2;Dubbel;SA / elastomeer;SA;Licht (standaard);;OK
219 PP;Beugel;2;19;;2;Enkel;Polypropyleen;PP;Licht (standaard);;OK
219/19 PP;Beugel;2;19;19;2;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
3006 PA;Beugel;2;06;;3;Enkel;Polyamide;PA;Zwaar;;OK
3006 PP;Beugel;2;06;;3;Enkel;Polypropyleen;PP;Zwaar;;OK
3006,4 PA;Beugel;2;06,4;;3;Enkel;Polyamide;PA;Zwaar;;OK
3006,4 PP;Beugel;2;06,4;;3;Enkel;Polypropyleen;PP;Zwaar;;OK
3008 AL;Beugel;2;08;;3;Enkel;Aluminium;AL;Zwaar;;OK
3008 PA;Beugel;2;08;;3;Enkel;Polyamide;PA;Zwaar;;OK
3008 PP;Beugel;2;08;;3;Enkel;Polypropyleen;PP;Zwaar;;OK
3008 PPH;Beugel;2;08;;3;Enkel;Polypropyleen;PPH;Zwaar;;OK
3009,5 PA;Beugel;2;09,5;;3;Enkel;Polyamide;PA;Zwaar;;OK
3009,5 PP;Beugel;2;09,5;;3;Enkel;Polypropyleen;PP;Zwaar;;OK
3010 AL;Beugel;2;10;;3;Enkel;Aluminium;AL;Zwaar;;OK
3010 PA;Beugel;2;10;;3;Enkel;Polyamide;PA;Zwaar;;OK
3010 PP;Beugel;2;10;;3;Enkel;Polypropyleen;PP;Zwaar;;OK
3010 PPH;Beugel;2;10;;3;Enkel;Polypropyleen;PPH;Zwaar;;OK
3012 AL;Beugel;2;12;;3;Enkel;Aluminium;AL;Zwaar;;OK
3012 PA;Beugel;2;12;;3;Enkel;Polyamide;PA;Zwaar;;OK
3012 PAH;Beugel;2;12;;3;Enkel;Polyamide;PAH;Zwaar;;OK
3012 PP;Beugel;2;12;;3;Enkel;Polypropyleen;PP;Zwaar;;OK
3012 PPH;Beugel;2;12;;3;Enkel;Polypropyleen;PPH;Zwaar;;OK
3012 SA;Beugel;2;12;;3;Enkel;SA / elastomeer;SA;Zwaar;;OK
3012,7 AL;Beugel;2;12,7;;3;Enkel;Aluminium;AL;Zwaar;;OK
3012,7 PA;Beugel;2;12,7;;3;Enkel;Polyamide;PA;Zwaar;;OK
3012,7 PP;Beugel;2;12,7;;3;Enkel;Polypropyleen;PP;Zwaar;;OK
3012,7 PPH;Beugel;2;12,7;;3;Enkel;Polypropyleen;PPH;Zwaar;;OK
3013,5 AL;Beugel;2;13,5;;3;Enkel;Aluminium;AL;Zwaar;;OK
3013,5 PP;Beugel;2;13,5;;3;Enkel;Polypropyleen;PP;Zwaar;;OK
3013,5 PPH;Beugel;2;13,5;;3;Enkel;Polypropyleen;PPH;Zwaar;;OK
3014 AL;Beugel;2;14;;3;Enkel;Aluminium;AL;Zwaar;;OK
3014 PA;Beugel;2;14;;3;Enkel;Polyamide;PA;Zwaar;;OK
3014 PP;Beugel;2;14;;3;Enkel;Polypropyleen;PP;Zwaar;;OK
3015 PA;Beugel;2;15;;3;Enkel;Polyamide;PA;Zwaar;;OK
3015 PP;Beugel;2;15;;3;Enkel;Polypropyleen;PP;Zwaar;;OK
3015 PPH;Beugel;2;15;;3;Enkel;Polypropyleen;PPH;Zwaar;;OK
3015 SA;Beugel;2;15;;3;Enkel;SA / elastomeer;SA;Zwaar;;OK
3016 AL;Beugel;2;16;;3;Enkel;Aluminium;AL;Zwaar;;OK
3016 PA;Beugel;2;16;;3;Enkel;Polyamide;PA;Zwaar;;OK
3016 PAH;Beugel;2;16;;3;Enkel;Polyamide;PAH;Zwaar;;OK
3016 PP;Beugel;2;16;;3;Enkel;Polypropyleen;PP;Zwaar;;OK
3016 PPH;Beugel;2;16;;3;Enkel;Polypropyleen;PPH;Zwaar;;OK
3017,2 AL;Beugel;2;17,2;;3;Enkel;Aluminium;AL;Zwaar;;OK
3017,2 PP;Beugel;2;17,2;;3;Enkel;Polypropyleen;PP;Zwaar;;OK
3017,2 PPH;Beugel;2;17,2;;3;Enkel;Polypropyleen;PPH;Zwaar;;OK
3018 AL;Beugel;2;18;;3;Enkel;Aluminium;AL;Zwaar;;OK
3018 PA;Beugel;2;18;;3;Enkel;Polyamide;PA;Zwaar;;OK
3018 PAH;Beugel;2;18;;3;Enkel;Polyamide;PAH;Zwaar;;OK
3018 PP;Beugel;2;18;;3;Enkel;Polypropyleen;PP;Zwaar;;OK
3018 PPH;Beugel;2;18;;3;Enkel;Polypropyleen;PPH;Zwaar;;OK
3018 SA;Beugel;2;18;;3;Enkel;SA / elastomeer;SA;Zwaar;;OK
3020 PA;Beugel;2;20;;3;Enkel;Polyamide;PA;Zwaar;;OK
3020 PP;Beugel;2;20;;3;Enkel;Polypropyleen;PP;Zwaar;;OK
312 PP;Beugel;2;12;;3;Enkel;Polypropyleen;PP;Licht (standaard);;OK
316 PP;Beugel;2;16;;3;Enkel;Polypropyleen;PP;Licht (standaard);;OK
316 PPH;Beugel;2;16;;3;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
318 AL;Beugel;2;18;;3;Enkel;Aluminium;AL;Licht (standaard);;OK
318 PA;Beugel;2;18;;3;Enkel;Polyamide;PA;Licht (standaard);;OK
318 PP;Beugel;2;18;;3;Enkel;Polypropyleen;PP;Licht (standaard);;OK
319 ACT;Beugel;2;19;;3;Enkel;ACT;ACT;Licht (standaard);;OK
319 AL;Beugel;2;19;;3;Enkel;Aluminium;AL;Licht (standaard);;OK
319 PA;Beugel;2;19;;3;Enkel;Polyamide;PA;Licht (standaard);;OK
