artikelnummer,[Items.Description],draadsoort,maat,stand,type
10212-02-04,CR. FITT. METR. BANJO STR. 1/8 X DN06,banjo,1/8,0,
10212-10-03,CR. FITT. METR. BANJO STR. 10MM X DN05,banjo,10MM,0,
10212-10-04,CR. FITT. METR. BANJO STR. 10MM X DN06,banjo,10MM,0,
10212-10-05,CR. FITT. METR. BANJO STR. 10MM X DN08,banjo,10MM,0,
10212-12-03,CR. FITT. METR. BANJO STR. 12MM X DN05,banjo,12MM,0,
10212-12-04,CR. FITT. METR. BANJO STR. 12MM X DN06,banjo,12MM,0,
10212-12-05,CR. FITT. METR. BANJO STR. 12MM X DN08,banjo,12MM,0,
10212-13-03,CR. FITT. METR. BANJO STR. 1/4 X DN05,banjo,1/4,0,
10212-13-04,CR. FITT. METR. BANJO STR. 1/4 X DN06,banjo,1/4,0,
10212-13-05,CR. FITT. METR. BANJO STR. 1/4 X DN08,banjo,1/4,0,
10212-13-06,CR. FITT. METR. BANJO STR. 1/4 X DN10,banjo,1/4,0,
10212-14-04,CR. FITT. METR. BANJO STR. 14MM X DN06,banjo,14MM,0,
10212-14-05,CR. FITT. METR. BANJO STR. 14MM X DN08,banjo,14MM,0,
10212-14-06,CR. FITT. METR. BANJO STR. 14MM X DN10,banjo,14MM,0,
10212-16-05,CR. FITT. METR. BANJO STR. 16MM X DN08,banjo,16MM,0,
10212-16-06,CR. FITT. METR. BANJO STR. 16MM X DN10,banjo,16MM,0,
10212-17-04,CR. FITT. METR. BANJO STR. 3/8 X DN06,banjo,3/8,0,
10212-17-05,CR. FITT. METR. BANJO STR. 3/8 X DN08,banjo,3/8,0,
10212-17-06,CR. FITT. METR. BANJO STR. 3/8 X DN10,banjo,3/8,0,
10212-17-08,CR. FITT. METR. BANJO STR. 3/8 X DN12,banjo,3/8,0,
10212-18-05,CR. FITT. METR. BANJO STR. 18MM X DN08,banjo,18MM,0,
10212-18-06,CR. FITT. METR. BANJO STR. 18MM X DN06,banjo,18MM,0,
10212-18-08,CR. FITT. METR. BANJO STR. 18MM X DN12,banjo,18MM,0,
10212-21-05,CR. FITT. METR. BANJO STR. 1/2 X DN08,banjo,1/2,0,
10212-21-06,CR. FITT. METR. BANJO STR. 1/2 X DN10,banjo,1/2,0,
10212-21-08,CR. FITT. METR. BANJO STR. 1/2 X DN12,banjo,1/2,0,
10212-22-06,CR. FITT. METR. BANJO STR. 22MM X DN10,banjo,22MM,0,
10212-22-08,CR. FITT. METR. BANJO STR. 22MM X DN12,banjo,22MM,0,
10212-22-10,CR. FITT. METR. BANJO STR. 22MM X DN16,banjo,22MM,0,
10212-23-10,CR. FITT. METR. BANJO STR. 5/8 X DN16,banjo,5/8,0,
10212-26-08,CR. FITT. METR. BANJO STR. 26MM X DN12,banjo,26MM,0,
10212-26-12,CR. FITT. METR. BANJO STR. 26MM X DN20,banjo,26MM,0,
10212-33-12,CR. FITT. METR. BANJO STR. 1 X DN20,banjo,1,0,
10212-33-16,CR. FITT. METR. BANJO STR. 1 X DN25,banjo,1,0,
10213-02-03,CR. FITT. BSP SWIVEL STR. 1/8 X DN05,bsp,1/8,0,wartel
10213-02-04,CR. FITT. BSP SWIVEL STR. 1/8 X DN06,bsp,1/8,0,wartel
10213-04-03,CR. FITT. BSP SWIVEL STR. 1/4 X DN05,bsp,1/4,0,wartel
10213-04-04,CR. FITT. BSP SWIVEL STR. 1/4 X DN06,bsp,1/4,0,wartel
10213-04-04MS,CR. FITT. BSP SWIVEL STR. 1/4 X DN06 MS,bsp,1/4,0,wartel
10213-04-04NIS,CR. FITT. BSP SWIVEL STR. 1/4 X DN06 NISSAN,bsp,1/4,0,wartel
10213-04-04OR,CR. FITT. BSP SWIVEL STR. 1/4 X DN06 O-RING,bsp,1/4,0,wartel
10213-04-04SWIVEL,CR. FITT. BSP SWIVEL STR. 1/4 X DN06 SWIVEL,bsp,1/4,0,wartel
10213-04-04VL,CR. FITT. BSP SWIVEL STR. 1/4 X DN06 FLAT SEAT,bsp,1/4,0,wartel
10213-04-05,CR. FITT. BSP SWIVEL STR. 1/4 X DN08,bsp,1/4,0,wartel
10213-04-06,CR. FITT. BSP SWIVEL STR. 1/4 X DN10,bsp,1/4,0,wartel
10213-06-04,CR. FITT. BSP SWIVEL STR. 3/8 X DN06,bsp,3/8,0,wartel
10213-06-04VL,CR. FITT. BSP SWIVEL STR. 3/8 X DN06 FLAT SEAT,bsp,3/8,0,wartel
10213-06-05,CR. FITT. BSP SWIVEL STR. 3/8 X DN08,bsp,3/8,0,wartel
10213-06-06,CR. FITT. BSP SWIVEL STR. 3/8 X DN10,bsp,3/8,0,wartel
10213-06-06NIS,CR. FITT. BSP SWIVEL STR. 3/8 X DN10 NISSAN,bsp,3/8,0,wartel
10213-06-06SWIVEL,CR. FITT. BSP SWIVEL STR. 3/8 X DN10 SWIVEL,bsp,3/8,0,wartel
10213-06-06VL,CR. FITT. BSP SWIVEL STR. 3/8 X DN10 FLAT SEAT,bsp,3/8,0,wartel
10213-06-08,CR. FITT. BSP SWIVEL STR. 3/8 X DN12,bsp,3/8,0,wartel
10213-08-04,CR. FITT. BSP SWIVEL 1/2 X DN06,bsp,1/2,0,wartel
10213-08-05,CR. FITT. BSP SWIVEL STR. 1/2 X DN08,bsp,1/2,0,wartel
10213-08-05VL,CR. FITT. BSP SWIVEL STR. 1/2 X DN08 FLAT SEAT,bsp,1/2,0,wartel
10213-08-06,CR. FITT. BSP SWIVEL STR. 1/2 X DN10,bsp,1/2,0,wartel
10213-08-06VL,CR. FITT. BSP SWIVEL STR. 1/2 X DN10 FLAT SEAT,bsp,1/2,0,wartel
10213-08-06ZK,CR. FITT. BSP SWIVEL STR. 1/2 X DN10 WIRE NUT,bsp,1/2,0,wartel
10213-08-08,CR. FITT. BSP SWIVEL STR. 1/2 X DN12,bsp,1/2,0,wartel
10213-08-08NIS,CR. FITT. BSP SWIVEL STR. 1/2 X DN12 NISSAN,bsp,1/2,0,wartel
10213-08-08OR,CR. FITT. BSP SWIVEL STR. 1/2 X DN12 O-RING,bsp,1/2,0,wartel
10213-08-08SWIVEL,CR. FITT. BSP SWIVEL STR. 1/2 X DN12 SWIVEL,bsp,1/2,0,wartel
10213-08-08VL,CR. FITT. BSP SWIVEL STR. 1/2 X DN12 FLAT SEAT,bsp,1/2,0,wartel
10213-08-10,CR. FITT. BSP SWIVEL STR. 1/2 X DN16,bsp,1/2,0,wartel
10213-08-12,CR. FITT. BSP SWIVEL STR. 1/2 X DN20,bsp,1/2,0,wartel
10213-10-06MS,CR. FITT. BSP SWIVEL STR. 5/8 X DN10 MS,bsp,5/8,0,wartel
10213-10-08,CR. FITT. BSP SWIVEL STR. 5/8 X DN12,bsp,5/8,0,wartel
10213-10-08VL,CR. FITT. BSP SWIVEL STR. 5/8 X DN12 FLAT SEAT,bsp,5/8,0,wartel
10213-10-10,CR. FITT. BSP SWIVEL STR. 5/8 X DN16,bsp,5/8,0,wartel
10213-12-08,CR. FITT. BSP SWIVEL STR. 3/4 X DN12,bsp,3/4,0,wartel
10213-12-08VL,CR. FITT. BSP SWIVEL STR. 3/4 X DN12 FLAT SEAT,bsp,3/4,0,wartel
10213-12-08VL-H,CR. FITT. BSP SWIVEL STR. 3/4 X DN12 FLAT SEAT,bsp,3/4,0,wartel
10213-12-10,CR. FITT. BSP SWIVEL STR. 3/4 X DN16,bsp,3/4,0,wartel
10213-12-10VL,CR. FITT. BSP SWIVEL STR. 3/4 X DN16 FLAT SEAT,bsp,3/4,0,wartel
10213-12-12,CR. FITT. BSP SWIVEL STR. 3/4 X DN20,bsp,3/4,0,wartel
10213-12-12NIS,CR. FITT. BSP SWIVEL STR. 3/4 X DN20 NISSAN,bsp,3/4,0,wartel
10213-12-12OR,CR. FITT. BSP SWIVEL STR. 3/4 X DN20 O-RING,bsp,3/4,0,wartel
10213-12-12SWIVEL,CR. FITT. BSP SWIVEL STR. 3/4 X DN20 SWIVEL,bsp,3/4,0,wartel
10213-12-12VL,CR. FITT. BSP SWIVEL STR. 3/4 X DN20 FLAT SEAT,bsp,3/4,0,wartel
10213-12-12ZK,CR. FITT. BSP SWIVEL STR. 3/4 X DN20 WIRE NUT,bsp,3/4,0,wartel
10213-12-16,CR. FITT. BSP SWIVEL STR. 3/4 X DN25,bsp,3/4,0,wartel
10213-12-16VL,CR. FITT. BSP SWIVEL STR. 3/4 X DN25 FLAT SEAT,bsp,3/4,0,wartel
10213-16-08VLMS,CR. FITT. BSP SWIVEL MESSING,bsp,1,0,wartel
10213-16-12,CR. FITT. BSP SWIVEL STR. 1 X DN20,bsp,1,0,wartel
10213-16-12VL,CR. FITT. BSP SWIVEL STR. 1 X DN20 FLAT SEAT,bsp,1,0,wartel
10213-16-16,CR. FITT. BSP SWIVEL STR. 1 X DN25,bsp,1,0,wartel
10213-16-16NIS,CR. FITT. BSP SWIVEL STR. 1 X DN25 NISSAN,bsp,1,0,wartel
10213-16-16OR,CR. FITT. BSP SWIVEL STR. 1 X DN25 O-RING,bsp,1,0,wartel
10213-16-16VL,CR. FITT. BSP SWIVEL STR. 1 X DN25 FLAT SEAT,bsp,1,0,wartel
10213-16-20,CR. FITT. BSP SWIVEL STR. 1 X DN32,bsp,1,0,wartel
10213-20-16,CR. FITT. BSP SWIVEL STR. 11/4 X DN25,bsp,11/4,0,wartel
10213-20-16VL,CR. FITT. BSP SWIVEL STR. 11/4 X DN25 FLAT SEAT,bsp,11/4,0,wartel
10213-20-20,CR. FITT. BSP SWIVEL STR. 11/4 X DN32,bsp,11/4,0,wartel
10213-20-20VL,CR. FITT. BSP SWIVEL STR. 11/4 X DN32 FLAT SEAT,bsp,11/4,0,wartel
10213-20-24,CR. FITT. BSP SWIVEL STR. 11/4 X DN40,bsp,11/4,0,wartel
10213-24-20,CR. FITT. BSP SWIVEL STR. 11/2 X DN32,bsp,11/2,0,wartel
10213-24-24,CR. FITT. BSP SWIVEL STR. 11/2 X DN40,bsp,11/2,0,wartel
10213-24-24OR,CR. FITT. BSP SWIVEL STR. 11/2 X DN40 O-RING,bsp,11/2,0,wartel
10213-24-24VL,CR. FITT. BSP SWIVEL STR. 11/2 X DN40 FLAT SEAT,bsp,11/2,0,wartel
10213-28-24MS,CR. FITT. BSP SWIVEL STR. 13/4 X DN40 MS,bsp,13/4,0,wartel
10213-32-24,CR. FITT. BSP SWIVEL STR. 2 X DN40,bsp,2,0,wartel
10213-32-32,CR. FITT. BSP SWIVEL STR. 2 X DN50,bsp,2,0,wartel
10213-32-32VL,CR. FITT. BSP SWIVEL STR. 2 X DN50 FLAT SEAT,bsp,2,0,wartel
10213-40-40,CR. FITT. BSP SWIVEL STR. 21/2 X DN63,bsp,21/2,0,wartel
10213-48-48,CR. FITT. BSP SWIVEL STR. 3 X DN75,bsp,3,0,wartel
10214-06-05,CR. FITT. SAE SWIVEL STR.,sae,3/8,0,wartel
10214-06-06,CR. FITT. SAE SWIVEL STR.,sae,3/8,0,wartel
10214-08-08,CR. FITT. SAE SWIVEL STR. FOR LPG,sae,1/2,0,wartel
10215-04-03,CR. FITT. JIC 37° SWIVEL STR. 7/16 X DN05,jic,7/16,0,wartel
10215-04-04,CR. FITT. JIC 37° SWIVEL STR. 7/16 X DN06,jic,7/16,0,wartel
10215-04-05,CR. FITT. JIC 37° SWIVEL STR. 7/16 X DN08,jic,7/16,0,wartel
10215-05-04,CR. FITT. JIC 37° SWIVEL STR. 1/2 X DN06,jic,1/2,0,wartel
10215-05-05,CR. FITT. JIC 37° SWIVEL STR. 1/2 X DN08,jic,1/2,0,wartel
10215-05-06,CR. FITT. JIC 37° SWIVEL STR. 1/2 X DN10,jic,1/2,0,wartel
10215-06-04,CR. FITT. JIC 37° SWIVEL STR. 9/16 X DN06,jic,9/16,0,wartel
10215-06-05,CR. FITT. JIC 37° SWIVEL STR. 9/16 X DN08,jic,9/16,0,wartel
10215-06-06,CR. FITT. JIC 37° SWIVEL STR. 9/16 X DN10,jic,9/16,0,wartel
10215-06RVS04MS,CR. FITT. JIC 37° SWIVEL STR. 9/16 ST/ST X DN06 MS,jic,9/16,0,wartel
10215-06RVS06MS,CR. FITT. JIC 37° SWIVEL STR. 9/16 ST/ST X DN10 MS,jic,9/16,0,wartel
10215-08-05,CR. FITT. JIC 37° SWIVEL STR. 3/4 X DN08,jic,3/4,0,wartel
10215-08-06,CR. FITT. JIC 37° SWIVEL STR. 3/4 X DN10,jic,3/4,0,wartel
10215-08-06SW22,CR. FITT. JIC 37° SWIVEL STR. 3/4 X DN10 SW22,jic,3/4,0,wartel
10215-08-08,CR. FITT. JIC 37° SWIVEL STR. 3/4 X DN12,jic,3/4,0,wartel
10215-10-06,CR. FITT. JIC 37° SWIVEL STR. 7/8 X DN10,jic,7/8,0,wartel
10215-10-08,CR. FITT. JIC 37° SWIVEL STR. 7/8 X DN12,jic,7/8,0,wartel
10215-10-10,CR. FITT. JIC 37° SWIVEL STR. 7/8 X DN16,jic,7/8,0,wartel
10215-10-12,CR. FITT. JIC 37° SWIVEL STR. 7/8 X DN20,jic,7/8,0,wartel
10215-12-08,CR. FITT. JIC 37° SWIVEL STR. 1-1/16 X DN12,jic,1-1/16,0,wartel
10215-12-08ZK,CR. FITT. JIC 37° SWIVEL STR. 1-1/16 X DN12 HEX,jic,1-1/16,0,wartel
10215-12-10,CR. FITT. JIC 37° SWIVEL STR. 1-1/16 X DN16,jic,1-1/16,0,wartel
10215-12-12,CR. FITT. JIC 37° SWIVEL STR. 1-1/16 X DN20,jic,1-1/16,0,wartel
10215-12-16,CR. FITT. JIC 37° SWIVEL STR. 1-1/16 X DN25,jic,1-1/16,0,wartel
10215-14-12,CR. FITT. JIC 37° SWIVEL STR. 1-3/16 X DN20,jic,1-3/16,0,wartel
10215-16-12,CR. FITT. JIC 37° SWIVEL STR. 1-5/16 X DN20,jic,1-5/16,0,wartel
10215-16-16,CR. FITT. JIC 37° SWIVEL STR. 1-5/16 X DN25,jic,1-5/16,0,wartel
10215-16-20,CR. FITT. JIC 37° SWIVEL STR. 1-5/16 X DN32,jic,1-5/16,0,wartel
10215-20-16,CR. FITT. JIC 37° SWIVEL STR. 1-5/8 X DN25,jic,1-5/8,0,wartel
10215-20-20,CR. FITT. JIC 37° SWIVEL STR. 1-5/8 X DN32,jic,1-5/8,0,wartel
10215-20-24,CR. FITT. JIC 37° SWIVEL STR. 1-5/8 X DN40,jic,1-5/8,0,wartel
10215-24-20,CR. FITT. JIC 37° SWIVEL STR. 1-7/8 X DN32,jic,1-7/8,0,wartel
10215-24-24,CR. FITT. JIC 37° SWIVEL STR. 1-7/8 X DN40,jic,1-7/8,0,wartel
10215-32-32,CR. FITT. JIC 37° SWIVEL STR. 2-1/2 X DN50,jic,2-1/2,0,wartel
10216-12-04,CR. FITT. METR. SWIVEL STR.,metrisch,M12,0,wartel
10216-14-04,CR. FITT. METR. SWIVEL STR.,metrisch,M14,0,wartel
10216-14-06,CR. FITT. METR. SWIVEL STR.,metrisch,M14,0,wartel
10216-16-04,CR. FITT. METR. SWIVEL STR.,metrisch,M16,0,wartel
10216-16-05,CR. FITT. METR. SWIVEL STR.,metrisch,M16,0,wartel
10216-16-06,CR. FITT. METR. SWIVEL STR.,metrisch,M16,0,wartel
10216-18-06,CR. FITT. METR. SWIVEL STR.,metrisch,M18,0,wartel
10216-22-06,CR. FITT. METR. SWIVEL STR.,metrisch,M22,0,wartel
10216-22-08,CR. FITT. METR. SWIVEL STR.,metrisch,M22,0,wartel
10216-26-10,CR. FITT. METR. SWIVEL STR.,metrisch,M26,0,wartel
10216-30-10,CR. FITT. METR. SWIVEL STR.,metrisch,M30,0,wartel
10216-30-12,CR. FITT. METR. SWIVEL STR.,metrisch,M30,0,wartel
10216-30-16,CR. FITT. METR. SWIVEL STR.,metrisch,M30,0,wartel
10216-33-10,CR. FITT. METR. SWIVEL STR.,metrisch,M33,0,wartel
10216-33-12,CR. FITT. METR. SWIVEL STR.,metrisch,M33,0,wartel
10216-38-16,CR. FITT. METR. SWIVEL STR.,metrisch,M38,0,wartel
10216-45-20,CR. FITT. METR. SWIVEL STR.,metrisch,M45,0,wartel
10216-52-24,CR. FITT. METR. SWIVEL STR.,metrisch,M52,0,wartel
10216-65-32,CR. FITT. METR. SWIVEL STR.,metrisch,M65,0,wartel
10216-78-32,CR. FITT. METR. SWIVEL STR.,metrisch,M78,0,wartel
10216-78-40,CR. FITT. METR. SWIVEL STR.,metrisch,M78,0,wartel
10217-08-06,CR. FITT. SAE FLANGE 3000PSI STR.,3000,1/2,0,flange
10217-08-08,CR. FITT. SAE FLANGE 3000PSI STR.,3000,1/2,0,flange
10217-08-10,CR. FITT. SAE FLANGE 3000PSI STR.,3000,1/2,0,flange
10217-08-12,CR. FITT. SAE FLANGE 3000PSI STR.,3000,1/2,0,flange
10217-12-08,CR. FITT. SAE FLANGE 3000PSI STR.,3000,3/4,0,flange
10217-12-10,CR. FITT. SAE FLANGE 3000PSI STR.,3000,3/4,0,flange
10217-12-12,CR. FITT. SAE FLANGE 3000PSI STR.,3000,3/4,0,flange
10217-12-16,CR. FITT. SAE FLANGE 3000PSI STR.,3000,3/4,0,flange
10217-16-08,CR. FITT. SAE FLANGE 3000PSI STR.,3000,1,0,flange
10217-16-12,CR. FITT. SAE FLANGE 3000PSI STR.,3000,1,0,flange
10217-16-16,CR. FITT. SAE FLANGE 3000PSI STR.,3000,1,0,flange
10217-16-20,CR. FITT. SAE FLANGE 3000PSI STR.,3000,1,0,flange
10217-20-16,CR. FITT. SAE FLANGE 3000PSI STR.,3000,1-1/4,0,flange
10217-20-20,CR. FITT. SAE FLANGE 3000PSI STR.,3000,1-1/4,0,flange
10217-20-24,CR. FITT. SAE FLANGE 3000PSI STR.,3000,1-1/4,0,flange
10217-24-16,CR. FITT. SAE FLANGE 3000PSI STR.,3000,1-1/2,0,flange
10217-24-20,CR. FITT. SAE FLANGE 3000PSI STR.,3000,1-1/2,0,flange
10217-24-24,CR. FITT. SAE FLANGE 3000PSI STR.,3000,1-1/2,0,flange
10217-32-20,CR. FITT. SAE FLANGE 3000PSI STR.,3000,2,0,flange
10217-32-24,CR. FITT. SAE FLANGE 3000PSI STR.,3000,2,0,flange
10217-32-32,CR. FITT. SAE FLANGE 3000PSI STR.,3000,2,0,flange
10217-32-40,CR. FITT. SAE FLANGE 3000PSI STR.,3000,2,0,flange
10217-40-32,CR. FITT. SAE FLANGE 3000PSI STR.,3000,2-1/2,0,flange
10217-40-40,CR. FITT. SAE FLANGE 3000PSI STR.,3000,2-1/2,0,flange
10217-40-48,CR. FITT. SAE FLANGE 3000PSI STR.,3000,2-1/2,0,flange
10217-48-48,CR. FITT. SAE FLANGE 3000PSI STR.,3000,3,0,flange
10217-56-56,CR. FITT. SAE FLANGE 3000PSI STR.,3000,3-1/2,0,flange
10217-64-48,CR. FITT. SAE FLANGE 3000PSI STR.,3000,4,0,flange
10217-64-64,CR. FITT. SAE FLANGE 3000PSI STR.,3000,4,0,flange
10218-08-08,CR. FITT. SAE FLANGE 6000PSI STR.,6000,1/2,0,flange
10218-08-10,CR. FITT. SAE FLANGE 6000PSI STR.,6000,1/2,0,flange
10218-08-12,CR. FITT. SAE FLANGE 6000PSI STR.,6000,1/2,0,flange
10218-12-08,CR. FITT. SAE FLANGE 6000PSI STR.,6000,3/4,0,flange
10218-12-10,CR. FITT. SAE FLANGE 6000PSI STR.,6000,3/4,0,flange
10218-12-12,CR. FITT. SAE FLANGE 6000PSI STR.,6000,3/4,0,flange
10218-12-16,CR. FITT. SAE FLANGE 6000PSI STR.,6000,3/4,0,flange
10218-16-12,CR. FITT. SAE FLANGE 6000PSI STR.,6000,1,0,flange
10218-16-16,CR. FITT. SAE FLANGE 6000PSI STR.,6000,1,0,flange
10218-20-16,CR. FITT. SAE FLANGE 6000PSI STR.,6000,1-1/4,0,flange
10218-20-20,CR. FITT. SAE FLANGE 6000PSI STR. 1-1/4 X DN20,6000,1-1/4,0,flange
10218-24-20,CR. FITT. SAE FLANGE 6000PSI STR.,6000,1-1/2,0,flange
10218-24-24,CR. FITT. SAE FLANGE 6000PSI STR.,6000,1-1/2,0,flange
10218-24-32,CR. FITT. SAE FLANGE 6000PSI STR.,6000,1-1/2,0,flange
10218-32-24,CR. FITT. SAE FLANGE 6000PSI STR.,6000,2,0,flange
10218-32-32,CR. FITT. SAE FLANGE 6000PSI STR.,6000,2,0,flange
10219-04-04,CR. FITT. BSP SWIVEL STR. JAPANESE,BSPJ,1/4,0,wartel
10219-06-06,CR. FITT. BSP SWIVEL STR. JAPANESE,BSPJ,3/8,0,wartel
10219-08-08,CR. FITT. BSP SWIVEL STR. JAPANESE,BSPJ,1/2,0,wartel
10219-12-08,CR. FITT. BSP SWIVEL STR. JAPANESE 0930-08-12,BSPJ,3/4,0,wartel
10219-12-10,CR. FITT. BSP SWIVEL STR. JAPANESE,BSPJ,3/4,0,wartel
10219-12-12,CR. FITT. BSP SWIVEL STR. JAPANESE,BSPJ,3/4,0,wartel
10219-14-04,CR. FITT. METR. SWIVEL STR. JAPANESE,BSPJ,M14,0,wartel
10219-14-06,CR. FITT. METR. SWIVEL STR. JAPANESE,BSPJ,M14,0,wartel
10219-16-05,CR. FITT. METR. SWIVEL STR. JAPANESE,BSPJ,M16,0,wartel
10219-16-06,CR. FITT. METR. SWIVEL STR. JAPANESE,BSPJ,M16,0,wartel
10219-16-16,CR. FITT. METR. SWIVEL STR. JAPANESE,BSPJ,M16,0,wartel
10219-18-06,CR. FITT. METR. SWIVEL STR. JAPANESE,BSPJ,M18,0,wartel
10219-20-06,CR. FITT. METR. SWIVEL STR. JAPANESE,BSPJ,M20,0,wartel
10219-20-20,CR. FITT. BSP SWIVEL STR. JAPANESE,BSPJ,11/4,0,wartel
10219-22-08,CR. FITT. METR. SWIVEL STR. JAPANESE,BSPJ,M22,0,wartel
10219-24-08,CR. FITT. METR. SWIVEL STR. JAPANESE,BSPJ,M24,0,wartel
10219-24-10,CR. FITT. METR. SWIVEL STR. JAPANESE,BSPJ,M24,0,wartel
10219-30-12,CR. FITT. METR. SWIVEL STR. JAPANESE,BSPJ,M30,0,wartel
10219-30-16,CR. FITT. METR. SWIVEL STR. JAPANESE,BSPJ,M30,0,wartel
10219-33-16,CR. FITT. METR. SWIVEL STR. JAPANESE,BSPJ,M33,0,wartel
10219-42-24,CR. FITT. METR. SWIVEL STR. JAPANESE,BSPJ,M42,0,wartel
10220-04-03,CR. FITT. JIC 37° MALE STR. 7/16 X DN05,jic,7/16,0,buiten
10220-04-04,CR. FITT. JIC 37° MALE STR. 7/16 X DN06,jic,7/16,0,buiten
10220-05-04,CR. FITT. JIC 37° MALE STR. 1/2 X DN06,jic,1/2,0,buiten
10220-05-05,CR. FITT. JIC 37° MALE STR. 1/2 X DN08,jic,1/2,0,buiten
10220-06-04,CR. FITT. JIC 37° MALE STR. 9/16 X DN06,jic,9/16,0,buiten
10220-06-05,CR. FITT. JIC 37° MALE STR. 9/16 X DN08,jic,9/16,0,buiten
10220-06-06,CR. FITT. JIC 37° MALE STR. 9/16 X DN10,jic,9/16,0,buiten
10220-07-06,CR. FITT. SAE 45° MALE STR. 5/8 X DN10,jic,5/8,0,buiten
10220-08-05,CR. FITT. JIC 37° MALE STR. 3/4 X DN08,jic,3/4,0,buiten
10220-08-06,CR. FITT. JIC 37° MALE STR. 3/4 X DN10,jic,3/4,0,buiten
10220-08-08,CR. FITT. JIC 37° MALE STR. 3/4 X DN12,jic,3/4,0,buiten
10220-08-10,CR. FITT. JIC 37° MALE STR. 3/4 X DN16,jic,3/4,0,buiten
10220-10-06,CR. FITT. JIC 37° MALE STR. 7/8 X DN10,jic,7/8,0,buiten
10220-10-08,CR. FITT. JIC 37° MALE STR. 7/8 X DN12,jic,7/8,0,buiten
10220-10-10,CR. FITT. JIC 37° MALE STR. 7/8 X DN16,jic,7/8,0,buiten
10220-10-12,CR. FITT. JIC 37° MALE STR. 7/8 X DN19,jic,7/8,0,buiten
10220-12-08,CR. FITT. JIC 37° MALE STR. 1-1/16 X DN12,jic,1-1/16,0,buiten
10220-12-10,CR. FITT. JIC 37° MALE STR. 1-1/16 X DN16,jic,1-1/16,0,buiten
10220-12-12,CR. FITT. JIC 37° MALE STR. 1-1/16 X DN20,jic,1-1/16,0,buiten
10220-12-16,CR. FITT. JIC 37° MALE STR. 1-1/16 X DN25,jic,1-1/16,0,buiten
10220-14-12,CR. FITT. JIC 37° MALE STR. 1-3/16 X DN20,jic,1-3/16,0,buiten
10220-16-12,CR. FITT. JIC 37° MALE STR. 1-5/16 X DN20,jic,1-5/16,0,buiten
10220-16-16,CR. FITT. JIC 37° MALE STR. 1-5/16 X DN25,jic,1-5/16,0,buiten
10220-20-20,CR. FITT. JIC 37° MALE STR. 1-5/8 X DN32,jic,1-5/8,0,buiten
10220-24-24,CR. FITT. JIC 37° MALE STR. 1-7/8 X DN40,jic,1-7/8,0,buiten
10225-04-04,CR. FITT. ORFS FEMALE STR. 9/16 X DN06,orfs,9/16,0,wartel
10225-06-04,CR. FITT. ORFS FEMALE STR. 11/16 X DN06,orfs,11/16,0,wartel
10225-06-05,CR. FITT. ORFS FEMALE STR. 11/16 X DN08,orfs,11/16,0,wartel
10225-06-06,CR. FITT. ORFS FEMALE STR. 11/16 X DN10,orfs,11/16,0,wartel
10225-06-08,CR. FITT. ORFS FEMALE STR. 11/16 X DN12,orfs,11/16,0,wartel
10225-08-06,CR. FITT. ORFS FEMALE STR. 13/16 X DN10,orfs,13/16,0,wartel
10225-08-08,CR. FITT. ORFS FEMALE STR. 13/16 X DN12,orfs,13/16,0,wartel
10225-08-10,CR. FITT. ORFS FEMALE STR. 13/16 X DN16,orfs,13/16,0,wartel
10225-10-08,CR. FITT. ORFS FEMALE STR. 1 X DN12,orfs,1,0,wartel
10225-10-10,CR. FITT. ORFS FEMALE STR. 1 X DN16,orfs,1,0,wartel
10225-10-12,CR. FITT. ORFS FEMALE STR. 1 X DN20,orfs,1,0,wartel
10225-12-08,CR. FITT. ORFS FEMALE STR. 1-3/16 X DN12,orfs,1-3/16,0,wartel
10225-12-10,CR. FITT. ORFS FEMALE STR. 1-3/16 X DN16,orfs,1-3/16,0,wartel
10225-12-12,CR. FITT. ORFS FEMALE STR. 1-3/16 X DN20,orfs,1-3/16,0,wartel
10225-12-16,SAE J516 / ISO 12151-1 Type Pullback (krimpwartel),orfs,1-3/16,0,wartel
10225-16-12,CR. FITT. ORFS FEMALE STR. 1-7/16 X DN20,orfs,1-7/16,0,wartel
10225-16-16,CR. FITT. ORFS FEMALE STR. 1-7/16 X DN25,orfs,1-7/16,0,wartel
10225-20-16,CR. FITT. ORFS FEMALE STR. 1-11/16 X DN25,orfs,1-11/16,0,wartel
10225-20-20,CR. FITT. ORFS FEMALE STR. 1-11/16 X DN32,orfs,1-11/16,0,wartel
10225-24-24,CR. FITT. ORFS FEMALE STR. 2 X DN40,orfs,2,0,wartel
10229-14-04,CR. FITT. JIS MALE METRIC STR.,jis,M14,0,buiten
10229-16-06,CR. FITT. JIS MALE METRIC STR.,jis,M16,0,buiten
10229-20-06,CR. FITT. JIS MALE METRIC STR.,jis,M20,0,buiten
10229-22-08,CR. FITT. JIS MALE METRIC STR.,jis,M22,0,buiten
10229-24-10,CR. FITT. JIS MALE METRIC STR.,jis,M24,0,buiten
10230-04-04,CR. FITT. ORFS MALE STR. 9/16 X DN06,orfs,9/16,0,buiten
10230-06-04,CR. FITT. ORFS MALE STR. 11/16 X DN06,orfs,11/16,0,buiten
10230-06-05,CR. FITT. ORFS MALE STR. 11/16 X DN08,orfs,11/16,0,buiten
10230-06-06,CR. FITT. ORFS MALE STR. 11/16 X DN10,orfs,11/16,0,buiten
