artnr;artnm;Leverancier;Artikelnr leverancier;Werkdruk (bar);2delig_1 - Huls;2delig_1 - Persmaat (mm);2delig_1 - Schilmaat intern (mm);2delig_1 - Schilmaat extern (mm);2delig_2 - Huls;2delig_2 - Persmaat (mm);2delig_2 - Schilmaat intern (mm);2delig_2 - Schilmaat extern (mm)
0347-06D/LIN;THERMOPLASTIC LINDE HOSE (3/8) DN10 TWIN;TVH;TVH/2850586;;15001-06;;;;;;;
0347-08;THERMOPLASTIC MEDIUM PRESSURE 12.7MM (1/2) DN13 R7 W.P. 140;Calseyde;R7-DN12-0665;140;17001-08;23,7;;;16001-08;;;
0347-08D;THERMOPLASTIC MEDIUM PRESSURE (1/2) DN12 W.P. 140 BAR TWIN;Hansaflex;NYZ713;140;17001-08;23,7;;;16001-08;;;
0347-10;THERMOPLASTIC MEDIUM PRESSURE 15.9MM (5/8) DN16 R7 W.P. 100;Parker;0347-10;100;16001-10;;;;;;;
0371LT-06;NO-SKIVE 9.5MM (3/8) DN10 COMPACT W.P. 445 BAR LOW TEMP;Parker;371LT-6;445;;;;;;;;
0371LT-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT W.P. 415 BAR LOW TEMP 371;Parker;371LT-8;415;;;;;;;;
0371LT-10;NO-SKIVE 15.9MM (5/8) DN16 COMPACT W.P. 350 BAR LOW TEMP;Parker;371LT-10;350;;;;;;;;
0371LT-12;NO-SKIVE 19.1MM (3/4) DN19 COMPACT W.P. 350 BAR LOW TEMP;Parker;371LT-12;350;;;;;;;;
0371LT-16;NO-SKIVE 25.4MM (1) DN25 COMPACT W.P. 280 BAR LOW TEMP 371;Parker;371LT-16;280;;;;;;;;
0372-06;NO-SKIVE 9.5MM (3/8) DN10 COMPACT W.P. 445 BAR 372-6;Parker;372-6;445;23000-06MM;23,2;;26;;;;
0372-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT 4SP W.P. 415 BAR;Parker;372-8;415;23000-08MM;26,5;;28;;;;
0372-10;NO-SKIVE 15.9MM (5/8) DN16 COMPACT 4SP W.P. 350 BAR;Parker;372-10;350;23000-10MM;30,1;;31;;;;
0372-12;NO-SKIVE 19.1MM (3/4) DN20 COMPACT 4SP W.P. 350 BAR;Parker;372-12;350;23000-12MM;33,8;;33;;;;
0372-16;NO-SKIVE 25.4MM (1) DN25 COMPACT 4SP W.P. 280 BAR;Parker;372-16;280;23000-16MM;42,3;;48;;;;
0372TC-06;NO-SKIVE 9.5MM (3/8) DN10 T.C. COMPACT W.P. 445 BAR;Parker;372TC-6;445;23000-06MM;23,2;;26;;;;
0372TC-08;NO-SKIVE 12.7MM (1/2) DN12 T.C. COMPACT W.P. 415 BAR;Parker;372TC-8;415;23000-08MM;26,5;;28;;;;
0372TC-10;NO-SKIVE 15.9MM (5/8) DN16 T.C. COMPACT W.P. 350 BAR;Parker;372TC-10;350;23000-10MM;30,1;;31;;;;
0372TC-12;NO-SKIVE 19.1MM (3/4) DN20 T.C. COMPACT W.P. 350 BAR;Parker;372TC-12;350;23000-12MM;33,8;;33;;;;
0372TC-16;NO-SKIVE 25.4MM (1) DN25 T.C. COMPACT W.P. 280 BAR;Parker;372TC-16;280;23000-16MM;42,3;;48;;;;
0387-04;NO-SKIVE 6.3MM (1/4) DN06 T.C. COMP. SPIRAL W.P. 21.0 MPa;Parker;387-4;210;;;;;;;;
0387-06;NO-SKIVE 9.5MM (3/8) DN10 COMP. SPIRAL W.P. 21.0 MPa;Parker;387-6;210;;;;;;;;
0387-08;NO-SKIVE 12.7MM (1/2) DN12 COMP. SPIRAL W.P. 21.0 MPa;Parker;387-8;210;;;;;;;;
0387-10;NO-SKIVE 15.9 MM (5/8) DN16 COMP. SPIRAL W.P. 21.0 MPa;Parker;387-10;210;;;;;;;;
0387-12;NO-SKIVE 19.1MM (3/4) DN20 COMP. SPIRAL W.P. 21.0 MPa;Parker;0387-12;210;;;;;;;;
0387-16;NO-SKIVE 25.4MM (1) DN25 COMP. SPIRAL W.P. 21.0 MPa;Parker;387-16;210;;;;;;;;
0387-20;NO-SKIVE 31.8MM (1-1/4) DN32 COMP. SPIRAL W.P. 21.0 MPa;Parker;0387-20;210;;;;;;;;
0387ST-04;NO-SKIVE 6.4MM (1/4) DN06 S.T. COMP. SPIRAL W.P. 21.0 MPa;Parker;387ST-4;210;;;;;;;;
0387ST-06;NO-SKIVE 9.5MM (3/8) DN10 S.T. COMP. SPIRAL W.P. 21.0 MPa;Parker;387ST-6;210;;;;;;;;
0387ST-08;NO-SKIVE 12.0MM (1/2) DN12 S.T. COMP. SPIRAL W.P. 21.0 MPa;Parker;387ST-8;210;;;;;;;;
0387ST-10;NO-SKIVE 16 MM (5/8) DN16 COMP. SPIRAL W.P. 21.0 MPa;Parker;387ST-10;210;;;;;;;;
0387ST-12;NO-SKIVE 19.1MM (3/4) DN20 COMP. SPIRAL W.P. 21.0 MPa;Parker;387ST-12;210;;;;;;;;
0387ST-16;NO-SKIVE 25.4MM (1) DN25 S.T. CLOBALCORE W.P. 210 BAR;Parker;387ST-16;210;;;;;;;;
0387ST-20;NO-SKIVE 31.8MM (11/4) DN31 S.T. CLOBALCORE W.P. 210 BAR;Parker;387ST-20;210;;;;;;;;
0387ST-24;NO-SKIVE 38.1MM (11/2) DN38 COMP. SPIRAL W.P. 21.0 MPa;Parker;387ST-24;210;;;;;;;;
0387ST-32;NO-SKIVE 50.8 MM (2) DN51 S.T. CLOBALCORE W.P. 210 BAR;Parker;387ST-32;210;;;;;;;;
0387TC-04;NO-SKIVE 6.3MM (1/4) DN06 T.C. COMP. SPIRAL W.P. 21.0 MPa;Parker;387TC-4;210;;;;;;;;
0387TC-06;NO-SKIVE 9.5MM (3/8) DN10 T.C. COMP. SPIRAL W.P. 21.0 MPa;Parker;387TC-6;210;;;;;;;;
0387TC-08;NO-SKIVE 12.7MM (1/2) DN12 T.C. COMP. SPIRAL W.P. 21.0 MPa;Parker;387TC-8;210;;;;;;;;
0387TC-10;NO-SKIVE 15.9MM (5/8) DN16 T.C. COMP. SPIRAL W.P. 21.0 MPa;Parker;0387tc-10;210;;;;;;;;
0387TC-12;NO-SKIVE 19.1MM (3/4) DN20 COMP. SPIRAL W.P. 21.0 MPa;Parker;387TC-12;210;;;;;;;;
0387TC-16;NO-SKIVE 25.4MM (1) DN25 T.C. COMP. SPIRAL W.P. 21.0 MPa;Parker;387TC-16;210;;;;;;;;
0387TC-20;NO-SKIVE 31.8MM (1-1/4) DN32 T.C. COMP. SPIRAL W.P. 21.0 MPa;Parker;387TC-20;210;;;;;;;;
0387TC-24;NO-SKIVE 38.1MM (1-1/2) DN38 T.C. COMP. SPIRAL W.P. 21.0 MPa;Parker;387TC-24;210;;;;;;;;
0387TC-32;NO-SKIVE 50.8MM (2) DN50 T.C. COMP. SPIRAL W.P. 21.0 MPa;Parker;387TC-32;210;;;;;;;;
0412-03;NO-SKIVE 4.6MM (3/16) DN05 PILOTHOSE 1 WIRE W.P. 120 BAR;Parker;412-3;120;;;;;;;;
0412-04;NO-SKIVE 6.3MM (1/4) DN06 PILOTHOSE 1 WIRE W.P. 120 BAR 412;Parker;412-4;120;;;;;;;;
0421-04;301SN NO-SKIVE 6.3MM (1/4) DN06 R2AT W.P. 400 BAR;Parker;301SN-4;400;13001-04MM;17,5;;;;;;
0421-05;301SN NO-SKIVE 7.9MM (5/16) DN08 R2AT W.P. 350 BAR;Parker;301SN-5;350;13001-05MM;19,4;;;;;;
0421-06;301SN NO-SKIVE 9.5MM (3/8) DN10 R2AT W.P. 330 BAR;Parker;301SN-6;330;13001-06MM;20,9;;;;;;
0421-08;301SN NO-SKIVE 12.7MM (1/2) DN12 R2AT 2SN W.P. 275 BAR;Parker;301SN-8;275;13001-08MM;25,1;;;;;;
0421-10;301SN NO-SKIVE 15.9MM (5/8) DN16 R2AT W.P. 250 BAR;Parker;301SN-10;250;13001-10MM;28,5;;;;;;
0421-12;301SN NO-SKIVE 19.1MM (3/4) DN20 R2AT W.P. 215 BAR;Parker;301SN-12;215;13001-12MM;32,3;;;;;;
0421-16;301SN NO-SKIVE 25.4MM (1) DN25 R2AT W.P. 165 BAR;Parker;301SN-16;165;13001-16MM;40,8;;;;;;
0421-20;301SN NO-SKIVE 31.8MM (1-1/4) DN32 R2AT W.P. 125 BAR;Parker;301SN-20;125;13001-20MM;50,9;;;;;;
0421-24;301SN NO-SKIVE 38.1MM (1-1/2) DN40 R2AT W.P. 90 BAR;Parker;301SN-24;90;13001-24MM;58;;;;;;
0421-32;301SN NO-SKIVE 50.8MM (2) DN50 R2AT W.P. 80 BAR;Parker;301SN-32;80;13001-32MM;70,8;;;;;;
0422-06;3SC HOSE 9.5MM (3/8) DN10 COMPACT W.P. 500 BAR;Interpump;THE003K-06;500;;;;;;;;
0422-08;3SK HOSE 12.7MM (1/2) DN12 COMPACT W.P. 475 BAR;Interpump;THE003K-08;475;;;;;;;;
0422-10;3SK HOSE 15.9MM (5/8) DN16 COMPACT W.P. 420 BAR;Interpump;THE003K-10;420;;;;;;;;
0422-12;3SK HOSE 19.0MM (3/4) DN20 COMPACT W.P. 380 BAR;Interpump;THE003K-12;380;;;;;;;;
0422-16;3SK HOSE 25.4MM (1) DN25 COMPACT W.P. 315 BAR;Interpump;THE003K-16;315;;;;;;;;
0422-56;4SK HOSE (31/2) DN89 COMPACT W.P.80 BAR;Hydrasun;H10091089;80;;;;;;;;
0422-64;4SK HOSE 102MM (4) DN102 COMPACT W.P. 35 BAR;Hydrasun;H10091102MWC9;35;;;;;;;;
0424-04;NO-SKIVE LONGLIFE 2SC DN06 W.P. 430 BAR;Interpump;THE202K-04;430;13002-04MM;15,5;;;;;;
0424-05;NO-SKIVE LONGLIFE 2SC DN08 W.P. 400 BAR;Interpump;THE202K-05;400;13002-05MM;17,8;;;;;;
