artnr;artnm;Leverancier;Artikelnr leverancier;Werkdruk (bar);2delig_1 - Huls;2delig_1 - Pilaar;2delig_1 - Persmaat (mm);2delig_1 - Schilmaat intern (mm);2delig_1 - Schilmaat extern (mm);2delig_2 - Huls;2delig_2 - Pilaar;2delig_2 - Persmaat (mm);2delig_2 - Schilmaat intern (mm);2delig_2 - Schilmaat extern (mm);1delig_1;1delig_1 - Persmaat (mm);1delig_1 - Insteekdiepte (mm);1delig_1 - Schilmaat intern (mm);1delig_1 - Schilmaat extern (mm);1delig_2;1delig_2 - Persmaat (mm);1delig_2 - Insteekdiepte (mm);1delig_2 - Schilmaat intern (mm);1delig_2 - Schilmaat extern (mm);1delig_3;1delig_3 - Persmaat (mm);1delig_3 - Insteekdiepte (mm);1delig_3 - Schilmaat intern (mm);1delig_3 - Schilmaat extern (mm)
0319-06;2SC 9.5MM (3/8) DN10 COMPACT W.P. 500 BAR BLUE;Interpump;TFB002K-06EI;500;NTB;10;20,4;;;13000-06;10;20,8;;24;;;;;;;;;;;;;;;
0323-04;NO-SKIVE 6.3MM (1/4) DN06 COMPACT 1SC.250 BAR LONGLIFE;Interpump;THE201K-04;250;13002-04MM;10;15,1;;;;;;;;;;;;;;;;;;;;;;
0323-04-04;NO-SKIVE 6.3MM (1/4) DN06 COMPACT 1SC W.P. 250 BAR TWIN LONG;Interpump;T2E101KI04;250;13002-04MM;10;15,1;;;;;;;;;;;;;;;;;;;;;;
0323-05;NO-SKIVE 7.9MM (5/16) DN08 COMPACT 1SC.250 BAR LONGLIFE;Interpump;THE201K-05;250;13002-05MM;10;16,9;;;;;;;;;;;;;;;;;;;;;;
0323-06;NO-SKIVE 9.5MM (3/8) DN10 COMPACT 1SC W.P. 250 BAR LONGLIFE;Interpump;THE201K-06;250;13002-06MM;10;19,4;;;;;;;;;;;;;;;;;;;;;;
0323-06-06;NO-SKIVE 9.5MM (3/8) DN10 COMPACT 1SC W.P. 250 BAR TWIN LONG;Interpump;T2E101K-06;250;13002-06MM;10;19,4;;;;;;;;;;;;;;;;;;;;;;
0323-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT 1SC W.P. 200 BAR LONGLIF;Interpump;THE201K-08;200;13002-08MM;10;22,1;;;;;;;;;;;;;;;;;;;;;;
0323-10;NO-SKIVE 15.9MM (5/8) DN16 COMPACT 1SC.150 BAR LONGLIFE;Interpump;THE201K-10;150;13002-10MM;10;26;;;;;;;;;;;;;;;;;;;;;;
0323-12;NO-SKIVE 19.1MM (3/4) DN20 COMPACT 1SC.150 BAR LONGLIFE;Interpump;THE201K-12;150;13002-12MM;10;29,8;;;;;;;;;;;;;;;;;;;;;;
0323-16;NO-SKIVE 25.4MM (1) DN25 COMPACT 1SC.110 BAR LONGLIFE;Interpump;THE201K-16;110;13002-16MM;10;37,4;;;;;;;;;;;;;;;;;;;;;;
