artnr;artnm;Leverancier;Artikelnr leverancier;Werkdruk (bar);2delig_1 - Huls;2delig_1 - Pilaar;2delig_1 - Persmaat (mm);2delig_1 - Schilmaat intern (mm);2delig_1 - Schilmaat extern (mm);2delig_2 - Huls;2delig_2 - Pilaar;2delig_2 - Persmaat (mm);2delig_2 - Schilmaat intern (mm);2delig_2 - Schilmaat extern (mm);1delig_1;1delig_1 - Persmaat (mm);1delig_1 - Insteekdiepte (mm);1delig_1 - Schilmaat intern (mm);1delig_1 - Schilmaat extern (mm);1delig_2;1delig_2 - Persmaat (mm);1delig_2 - Insteekdiepte (mm);1delig_2 - Schilmaat intern (mm);1delig_2 - Schilmaat extern (mm);1delig_3;1delig_3 - Persmaat (mm);1delig_3 - Insteekdiepte (mm);1delig_3 - Schilmaat intern (mm);1delig_3 - Schilmaat extern (mm)
0620-12;MTR NYLAFLOW HOSE;Flowtech;0620-12;;;;;;;;;;;;;;;;;;;;;;;;;;
0628-04;MTR NYLAFLOW HOSE;Flowtech;0628-04;;;;;;;;;;;;;;;;;;;;;;;;;;
0628-04PP;MTR NYLAFLOW HOSE;Flowtech;0628-04PP;;;;;;;;;;;;;;;;;;;;;;;;;;
0628-05;MTR NYLAFLOW HOSE;Flowtech;0628-05;;;;;;;;;;;;;;;;;;;;;;;;;;
0628-06;MTR NYLAFLOW HOSE;Flowtech;0628-06;;;;;;;;;;;;;;;;;;;;;;;;;;
0628-08;MTR NYLAFLOW HOSE;Flowtech;0628-08;;;;;;;;;;;;;;;;;;;;;;;;;;
0692-04;NO-SKIVE 6.3MM (1/4) DN06 COMPACT 1SC W.P. 210 BAR;Parker;692-4;210;13002-04MM;10;15,1;;;13002-04;10;14,6;;;46;14,6;23;;;;;;;;;;;;
0692-04-04;NO-SKIVE 6.3MM (1/4) DN06 COMPACT 1SC W.P. 210 BAR TWIN;Parker;692-4-4;210;;;;;;;;;;;46;14,6;23;;;;;;;;;;;;
0692-05;NO-SKIVE 7.9MM (5/16) DN08 COMPACT 1SC W.P. 210 BAR;Parker;692-5;210;13002-05MM;10;16,9;;;13002-05;10;16,7;;;46;16,4;23;;;;;;;;;;;;
0692-05-05;NO-SKIVE 7.9MM (5/16) DN08 COMPACT 1SC W.P. 210 BAR TWIN;Parker;692-5-5;210;;;;;;;;;;;46;16,4;23;;;;;;;;;;;;
0692-06;NO-SKIVE 9.5MM (3/8) DN10 COMPACT 1SC W.P. 210 BAR;Parker;692-6;210;13002-06MM;10;19,4;;;13002-06;10;18,5;;;46;19,6;22;;;;;;;;;;;;
0692-06-06;NO-SKIVE 9.5MM (3/8) DN10 COMPACT 1SC W.P. 210 BAR TWIN;Parker;692-6-6-GT50;210;;;;;;;;;;;46;19,6;22;;;;;;;;;;;;
0692-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT 1SC W.P. 210 BAR;Parker;692-8;210;13002-08MM;10;22,1;;;13002-08;10;22,3;;;46;23,6;24;;;;;;;;;;;;
0692-08-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT 1SC W.P. 210 BAR TWIN;Parker;692-8-8;210;;;;;;;;;;;46;23,6;24;;;;;;;;;;;;
0692-08-08-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT 1SC W.P. 210 BAR TRIPEL;Parker;692-8-8-8;210;;;;;;;;;;;46;23,6;24;;;;;;;;;;;;
0692-10;NO-SKIVE 15.9MM (5/8) DN16 COMPACT 1SC W.P. 210 BAR;Parker;692-10;210;13002-10MM;10;26;;;13002-10;10;24,9;;;46;26,9;25;;;;;;;;;;;;
0692-10-10;NO-SKIVE 15.9MM (5/8) DN16 COMPACT 1SC W.P. 210 BAR TWIN;Parker;692-10-10;210;;;;;;;;;;;46;26,9;25;;;;;;;;;;;;
0692PU-04;NO-SKIVE 6.3MM (1/4) DN06 PU COMPACT 1SC W.P. 210 BAR;Parker;692PU-4;210;13002-04MM;10;15,1;;;13002-04;10;14,6;;;46;14,6;23;;;;;;;;;;;;
0692PU-04-04;NO-SKIVE 6.3MM (1/4) DN06 PU COMPACT 1SC W.P. 210 BAR TWIN;Parker;692PU-4-4;210;;;;;;;;;;;46;14,6;23;;;;;;;;;;;;
0692PU-05;NO-SKIVE 7.9MM (5/16) DN08 PU COMPACT 1SC W.P. 210 BAR;Parker;692PU-5;210;13002-05MM;10;16,9;;;13002-05;10;16,7;;;46;16,4;23;;;;;;;;;;;;
0692PU-05-05;NO-SKIVE 7.9MM (5/16) DN08 PU COMPACT 1SC W.P. 210 BAR TWIN;Parker;692PU-5-5;210;;;;;;;;;;;46;16,4;23;;;;;;;;;;;;
0692PU-06;NO-SKIVE 9.5MM (3/8) DN10 PU COMPACT 1SC W.P. 210 BAR;Parker;692PU-6;210;13002-06MM;10;19,4;;;13002-06;10;18,5;;;46;19,55;22;;;;;;;;;;;;
0692PU-06-06;NO-SKIVE 9.5MM (3/8) DN10 PU COMPACT 1SC W.P. 210 BAR TWIN;Parker;692PU-6-6;210;;;;;;;;;;;46;19,55;22;;;;;;;;;;;;
0692PU-08;NO-SKIVE 9.5MM (1/2) DN12 PU COMPACT 1SC W.P. 210 BAR;Parker;692PU-08;210;;;;;;;;;;;48;23,6;24;;;;;;;;;;;;
0692PU-08-08;NO-SKIVE 9.5MM (1/2) DN12 PU COMPACT 1SC W.P. 210 BAR TWIN;Parker;692PU-8-8;210;;;;;;;;;;;48;23,6;24;;;;;;;;;;;;
0692PU-10-10;NO-SKIVE 15.9MM (5/8) DN16 COMPACT 1SC W.P. 210 BAR TWIN;Parker;692PU-10-10;210;;;;;;;;;;;48;26,9;25;;;;;;;;;;;;
0721ST-08;MTR SLANG R12 COMPACT SUPER TOUGH 721ST-8;Parker;721ST-8;;;;;;;;;;;;71;28,20;32;;;;;;;;;;;;
0721ST-12;MTR SLANG R12 COMPACT SUPER TOUGH 721ST-12;Parker;721ST-12;;;;;;;;;;;;71;34,65;37;;;;;;;;;;;;
0721ST-16;MTR SLANG R12 COMPACT SUPER TOUGH 721ST-16;Parker;721ST-16;;;;;;;;;;;;71;43,30;44;;;;;;;;;;;;
0721TC-06;MTR SLANG R12 COMPACT TOUGH COVER 721TC-6;Parker;721TC-6;;;;;;;;;;;;71;24,40;27;;;;;;;;;;;;
0721TC-08;MTR SLANG R12 COMPACT TOUGH COVER 721TC-8;Parker;721TC-8;;;;;;;;;;;;71;28,20;32;;;;;;;;;;;;
0721TC-10;MTR SLANG R12 COMPACT TOUGH COVER 721TC-10;Parker;721TC-10;;;;;;;;;;;;71;31,25;33;;;;;;;;;;;;
0721TC-12;MTR SLANG R12 COMPACT TOUGH COVER 721TC-12;Parker;721TC-12;;;;;;;;;;;;71;34,65;37;;;;;;;;;;;;
0721TC-16;MTR SLANG R12 COMPACT TOUGH COVER 721TC-16;Parker;721TC-16;;;;;;;;;;;;71;43,30;44;;;;;;;;;;;;
0721TC-20;MTR SLANG R12 COMPACT TOUGH COVER 721TC-20;Parker;721TC-20;;;;;;;;;;;;71;51,70;46;;;;;;;;;;;;
0721TC-24;MTR SLANG R12 COMPACT TOUGH COVER 721TC-24;Parker;721TC-24;;;;;;;;;;;;71;58,40;59;;;;;;;;;;;;
0721TC-32;MTR SLANG R12 COMPACT TOUGH COVER 721TC-32;Parker;721TC-32;;;;;;;;;;;;71;70,75;62;;;;;;;;;;;;
0722ST-06;NO-SKIVE 9.5MM (3/8) DN10 S.T. COMPACT W.P. 4000 PSI;Parker;722ST-6;280;;;;;;;;;;;43;22,20;29;;;;;;;;;;;;
0722ST-08;NO-SKIVE 12.7MM (1/2) DN12 S.T. COMPACT W.P. 4000 PSI;Parker;722ST-8;280;;;;;;;;;;;43;25,25;33;;;;;;;;;;;;
0722ST-12;NO-SKIVE 19.1MM (3/4) DN20 S.T. COMPACT W.P. 4000 PSI;Parker;722ST-12;280;;;;;;;;;;;43;32,90;38;;;;;;;;;;;;
0722ST-16;NO-SKIVE 25.4MM (1) DN25 S.T. COMPACT W.P. 4000 PSI;Parker;722ST-16;280;;;;;;;;;;;43;41,65;44;;;;;;;;;;;;
0722ST-20;NO-SKIVE 31.8MM (1-1/4) DN32 S.T. COMPACT W.P. 3000 PSI;Parker;722ST-20;206,8;;;;;;;;;;;43;51,30;48;;;;;;;;;;;;
0722TC-06;NO-SKIVE 9.5MM (3/8) DN10 T.C. COMPACT W.P. 4000 PSI;Parker;722TC-6;280;;;;;;;;;;;43;22,22;28,45;;;;;;;;;;;;
0722TC-08;NO-SKIVE 12.7MM (1/2) DN12 T.C. COMPACT W.P. 4000 PSI;Parker;722TC-8;280;;;;;;;;;;;43;25,27;33,27;;;;;;;;;;;;
0722TC-10;NO-SKIVE 15.9MM (5/8) DN16 T.C. COMPACT 2SC W.P. 4000PSI;Parker;722TC-10;280;;;;;;;;;;;43;28,19;39,62;;;;;;;;;;;;
0722TC-12;NO-SKIVE 19.1MM (3/4) DN20 T.C. COMPACT W.P. 4000 PSI;Parker;722TC-12;280;;;;;;;;;;;43;32,89;38,1;;;;;;;;;;;;
0722TC-16;NO-SKIVE 24.4MM (1) DN25 T.C. COMPACT W.P. 4000 PSI;Parker;722TC-16;280;;;;;;;;;;;43;41,66;44,45;;;;;;;;;;;;
0722TC-20;NO-SKIVE 31.8MM (1-1/4) DN32 T.C. COMPACT W.P. 3000 PSI;Parker;722TC-20;206,8;;;;;;;;;;;43;51,31;47,75;;;;;;;;;;;;
0722TC-24;NO-SKIVE 38.1MM (1-1/2) DN38 T.C. COMPACT W.P. 2500 PSI;Parker;722TC-24;172,4;;;;;;;;;;;71;58,42;58,67;;;;;;;;;;;;
0731-12;NO-SKIVE 19.1MM (3/4) DN20 4SH W.P. 42.0 MPa 731-12;Parker;731-12;420;;;;;;;;;;;73;36,30;48;;;;;;;;;;;;
0731-16;NO-SKIVE 25.4MM (1) DN25 4SH W.P. 38.0 MPa 731-16;Parker;731-16;380;;;;;;;;;;;73;44,20;51;;;;;;;;;;;;
0787-04;NO-SKIVE 6.4MM (1/4) DN06 COMP. SPIRAL W.P. 35.0 MPa;Parker;787-4;350;;;;;;;;;;;48;16,65;22;;;43;16,64;20,57;;;;;;;
0787-06;NO-SKIVE 9.5MM (3/8) DN10 COMP. SPIRAL W.P. 35.0 MPa;Parker;787-6;350;;;;;;;;;;;48;20,6;22;;;43;21,21;28,7;;;;;;;
0787-12;NO-SKIVE 19.1MM (3/4) DN20 COMP. SPIRAL W.P. 35.0 MPa;Parker;787-12;350;;;;;;;;;;;77;31,88;45,21;;;;;;;;;;;;
0787-16;NO-SKIVE 25.4MM (1) DN25 COMP. SPIRAL W.P. 35.0 MPa 787;Parker;787-16;350;;;;;;;;;;;77;39,4;54,1;;;;;;;;;;;;
0787-20;NO-SKIVE 31.8MM (1-1/4) DN32 COMP. SPIRAL W.P. 35.0 MPa;Parker;787-20;350;;;;;;;;;;;77;50,29;63,75;;;;;;;;;;;;
0787-32;NO-SKIVE 50.8MM (2) DN50 COMP. SPIRAL W.P. 35.0 MPa 787;Parker;787-32;350;;;;;;;;;;;77;73,02;77,47;;;;;;;;;;;;
0787ST-04;NO-SKIVE 6.4MM (1/4) DN06 T.C. COMP. SPIRAL W.P. 35.0 MPa;Parker;787ST-4;350;;;;;;;;;;;48;16,65;22;;;43;16,65;21;;;;;;;
0787ST-06;NO-SKIVE 9.5MM (3/8) DN10 S.T. COMP. SPIRAL W.P. 35.0 MPa;Parker;787ST-6;350;;;;;;;;;;;48;20,6;22;;;43;21,2;29;;;;;;;
0787ST-08;NO-SKIVE 12.7MM (1/2) DN12 S.T. COMP. SPIRAL W.P. 35.0 MPa;Parker;787ST-8;350;;;;;;;;;;;77;23,88;34,54;;;;;;;;;;;;
0787ST-12;NO-SKIVE 19.1MM (3/4) DN20 T.C. COMP. SPIRAL W.P. 35.0 MPa 7;Parker;787ST-12;350;;;;;;;;;;;77;31,88;45,21;;;;;;;;;;;;
0787ST-16;NO-SKIVE 25.4MM (1) DN25 T.C. COMP. SPIRAL W.P. 35.0 MPa 7;Parker;787ST-16;350;;;;;;;;;;;77;39,4;54,1;;;;;;;;;;;;
0787ST-20;NO-SKIVE 31.8MM (11/4) DN31 TC. COMP. SPIRAL W.P. 35.0 MPa 7;Parker;787ST-20;350;;;;;;;;;;;77;50,29;63,75;;;;;;;;;;;;
0787ST-24;NO-SKIVE 38 MM (11/2) DN38 T.C. COMP. SPIRAL W.P. 35.0 MPa;Parker;787ST-24;350;;;;;;;;;;;77;59,18;67,82;;;;;;;;;;;;
0787ST-32;NO-SKIVE 50.8MM (2) DN50 S.T. COMP. SPIRAL W.P. 35.0 MPa;Parker;787ST-32;350;;;;;;;;;;;77;73,02;77,47;;;;;;;;;;;;
0787TC-04;NO-SKIVE 19.1MM (1/4) DN6 T.C. COMP. SPIRAL W.P. 35.0 MPa;Parker;787TC-4;350;;;;;;;;;;;48;16,65;22;;;43;16,65;21;;;;;;;
0787TC-06;NO-SKIVE 9.5MM (3/8) DN10 T.C. COMP. SPIRAL W.P. 35.0 MPa;Parker;787TC-6;350;;;;;;;;;;;48;20,6;22;;;43;21,2;29;;;;;;;
0787TC-08;NO-SKIVE 12.7MM (1/2) DN12 T.C. COMP. SPIRAL W.P. 35.0 MPa 7;Parker;787TC-8;350;;;;;;;;;;;77;23,88;34,54;;;;;;;;;;;;
0787TC-10;NO-SKIVE 15.9MM (5/8) DN16 T.C. COMP. SPIRAL W.P. 35.0 MPa 7;Parker;787TC-10;350;;;;;;;;;;;77;27,1;38,86;;;;;;;;;;;;
0787TC-12;NO-SKIVE 19.1MM (3/4) DN20 T.C. COMP. SPIRAL W.P. 35.0 MPa 7;Parker;787TC-12;350;;;;;;;;;;;77;31,88;45,21;;;;;;;;;;;;
0787TC-16;NO-SKIVE 25.4MM (1) DN25 T.C. COMP. SPIRAL W.P. 35.0 MPa 787;Parker;787TC-16;350;;;;;;;;;;;77;39,4;54,1;;;;;;;;;;;;
0787TC-20;NO-SKIVE 31.8MM (1-1/4) DN32 T.C. COMP. SPIRAL W.P. 35.0 MPa;Parker;787TC-20;350;;;;;;;;;;;77;50,29;63,75;;;;;;;;;;;;
0787TC-24;NO-SKIVE 38.1MM (1-1/2) DN38 T.C. COMP. SPIRAL W.P. 35.0 MPa;Parker;787TC-24;350;;;;;;;;;;;77;59,18;67,82;;;;;;;;;;;;
0787TC-32;NO-SKIVE 50.8MM (2) DN50 T.C. COMP. SPIRAL W.P. 35.0 MPa 787;Parker;787TC-32;350;;;;;;;;;;;77;73,02;77,47;;;;;;;;;;;;
0797-10;NO-SKIVE 15.9MM (5/8) DN16 COMP. SPIRAL W.P. 42.0 MPa;Parker;797-10;420;;;;;;;;;;;77;27,10;38,9;;;;;;;;;;;;
0797-12;NO-SKIVE 19.1MM (3/4) DN20 COMP. SPIRAL W.P. 42.0 MPa 797-12;Parker;797-12;420;;;;;;;;;;;77;31,90;45,2;;;;;;;;;;;;
0797-16;NO-SKIVE 25.4MM (1) DN25 COMP. SPIRAL W.P. 42.0 MPa 797-16;Parker;797-16;420;;;;;;;;;;;77;39,40;54,1;;;;;;;;;;;;
0797-20;NO-SKIVE 31.8MM DN32 COMP. SPIRAL W.P. 42.0 MPa;Parker;797-20;420;;;;;;;;;;;77;50,30;63,8;;;;;;;;;;;;
0797-24;NO-SKIVE 38.1MM DN38 COMP. SPIRAL W.P. 42.0 MPa;Parker;797-24;420;;;;;;;;;;;77;59,20;67,7;;;;;;;;;;;;
0797-32;NO-SKIVE 50.8MM DN51 COMP. SPIRAL W.P. 42.0 MPa;Parker;797-32;420;;;;;;;;;;;77;73,05;77,5;;;;;;;;;;;;
0797ST-04;NO-SKIVE 6.4MM (1/4) DN06 T.C. COMP. SPIRAL W.P. 42.0 MPa;Parker;797ST-4;420;;;;;;;;;;;48;16,65;22;;;43;16,65;21;;;;;;;
0797ST-06;NO-SKIVE 9.5MM (3/8) DN10 S.T. COMP. SPIRAL W.P. 42.0 MPa;Parker;797ST-6;420;;;;;;;;;;;43;21,21;28,7;;;;;;;;;;;;
0797ST-08;NO-SKIVE 12.7MM (1/2) DN12 T.C. COMP. SPIRAL W.P. 42.0 MPa;Parker;797ST-8;420;;;;;;;;;;;77;23,90;34,6;;;;;;;;;;;;
0797ST-10;NO-SKIVE 15.9MM (5/8) DN16 COMP. SPIRAL W.P. 42.0 MPa;Parker;797ST-10;420;;;;;;;;;;;77;27,10;38,9;;;;;;;;;;;;
0797ST-12;NO-SKIVE 19.0MM (3/4) DN20 S.T. COMP. SPIRAL W.P. 42.0 MPa;Parker;797ST-12;420;;;;;;;;;;;77;31,90;45,2;;;;;;;;;;;;
0797ST-16;NO-SKIVE 25.4MM (1) DN25 COMP. SPIRAL W.P. 42.0 MPa;Parker;797ST-16;420;;;;;;;;;;;77;39,40;54,1;;;;;;;;;;;;
0797ST-20;NO-SKIVE 31.8MM (1-1/4) DN32 T.C. COMP. SPIRAL W.P. 42.0 MPa;Parker;797ST-20;420;;;;;;;;;;;77;50,30;63,8;;;;;;;;;;;;
0797ST-24;NO-SKIVE 38.1MM (1-1/2) DN38 S.T. COMP. SPIRAL W.P. 42.0 MPa;Parker;797ST-24;420;;;;;;;;;;;77;59,20;67,7;;;;;;;;;;;;
0797ST-32;NO-SKIVE 50.8MM (2) DN50 S.T. COMP. SPIRAL W.P. 42.0 MPa;Parker;797ST-32;420;;;;;;;;;;;77;73,05;77,5;;;;;;;;;;;;
0797TC-04;NO-SKIVE 6.4MM (1/4) DN06 T.C. COMP. SPIRAL W.P. 42.0 MPa;Parker;797TC-4;420;;;;;;;;;;;48;16,65;22;;;43;16,65;21;;;;;;;
0797TC-06;NO-SKIVE 9.5MM (3/8) DN10 T.C. COMP. SPIRAL W.P. 42.0 MPa;Parker;797TC-6;420;;;;;;;;;;;43;21,21;28,7;;;;;;;;;;;;
0797TC-08;NO-SKIVE 12.7MM (1/2) DN12 T.C. COMP. SPIRAL W.P. 42.0 MPa 7;Parker;797TC-8;420;;;;;;;;;;;77;23,90;34,6;;;;;;;;;;;;
0797TC-10;NO-SKIVE 15.9MM (5/8) DN16 T.C. COMP. SPIRAL W.P. 42.0 MPa;Parker;797TC-10;420;;;;;;;;;;;77;27,10;38,9;;;;;;;;;;;;
0797TC-12;NO-SKIVE 19.1MM (3/4) DN20 T.C. COMP. SPIRAL W.P. 42.0 MPa 7;Parker;797TC-12;420;;;;;;;;;;;77;31,90;45,2;;;;;;;;;;;;
0797TC-16;NO-SKIVE 25.4MM (1) DN25 T.C. COMP. SPIRAL W.P. 42.0 MPa 797;Parker;797TC-16;420;;;;;;;;;;;77;39,40;54,1;;;;;;;;;;;;
0797TC-20;NO-SKIVE 31.8MM (1-1/4) DN32 T.C. COMP. SPIRAL W.P. 42.0 MPa;Parker;797TC-20;420;;;;;;;;;;;77;50,30;63,8;;;;;;;;;;;;
0797TC-24;NO-SKIVE 38.1MM (1-1/2) DN38 T.C. COMP. SPIRAL W.P. 42.0 MPa;Parker;797TC-24;420;;;;;;;;;;;77;59,20;67,7;;;;;;;;;;;;
0797TC-32;NO-SKIVE 50.8MM (2) DN50 T.C. COMP. SPIRAL W.P. 42.0 MPa 797;Parker;797TC-32;420;;;;;;;;;;;77;73,05;77,5;;;;;;;;;;;;
0811-03;SMOOTH, BIG BORE PTFE HOSE, WITH ST/ST BRAID W.P. 264 BAR;Xtraflex;T1B005;264;81000-03;10;10,8;;;;;;;;;;;;;;;;;;;;;;
0811-04;SMOOTH, BIG BORE PTFE HOSE, WITH ST/ST BRAID W.P. 224 BAR;Xtraflex;T1B006;224;81000-04;10;12,5;;;;;;;;;;;;;;;;;;;;;;
0811-04-316;SMOOTH, BIG BORE PTFE HOSE, WITH ST/ST 316L BRAID;Polyfluor plastics;801AGP316DN06;;;;;;;;;;;;;;;;;;;;;;;;;;
0811-05;SMOOTH, BIG BORE PTFE HOSE, WITH ST/ST BRAID W.P. 207 BAR;Dicsa;M290008;207;81000-05;10;14,4;;;;;;;;;;;;;;;;;;;;;;
0811-05-316;SMOOTH, BIG BORE PTFE HOSE, WITH ST/ST 316L BRAID;Polyfluor plastics;801AGP316dn08;;;;;;;;;;;;;;;;;;;;;;;;;;
0811-06;SMOOTH, BIG BORE PTFE HOSE, WITH ST/ST BRAID W.P. 175 BAR;Parker;2030T-06V70;175;81000-06;10;16;;;;;;;;F6;16,5;25,0;;;;;;;;;;;;
0811-06A;SMOOTH PTFE HOSE, WITH ST/ST BRAID ANTI STATIC;Xtraflex;T1AB010;;;;;;;;;;;;;;;;;;;;;;;;;;
0811-08;SMOOTH, BIG BORE PTFE HOSE, WITH ST/ST BRAID W.P. 161 BAR;Polyfluor plastics;801AGPDN12;161;81000-08;10;20,5;;;;;;;;;;;;;;;;;;;;;;
0811-08A;SMOOTH PTFE HOSE, WITH ST/ST BRAID ANTI STATIC;Xtraflex;T1AB012;;;;;;;;;;;;;;;;;;;;;;;;;;
0811-10;SMOOTH, BIG BORE PTFE HOSE, WITH ST/ST BRAID W.P. 114 BAR;Dicsa;M290016;114;;;;;;;;;;;;;;;;;;;;;;;;;
0811-12;SMOOTH, BIG BORE PTFE HOSE, WITH ST/ST BRAID W.P. 103 BAR;Xtraflex;TB1020;103;;;;;;;;;;;;;;;;;;;;;;;;;
0811-16;SMOOTH, BIG BORE PTFE HOSE, WITH ST/ST BRAID W.P. 80 BAR;Dicsa;M290025;80;;;;;;;;;;;;;;;;;;;;;;;;;
0815-04;CONVULTED, PTFE HOSE, WITH ST/ST BRAID W.P. 172 BAR;Xtraflex;TCB1E006L;172;;;;;;;;;;;;;;;;;;;;;;;;;
0815-05;CONVULTED, PTFE HOSE, WITH ST/ST BRAID W.P. 138 BAR;Xtraflex;TCB1E008;138;;;;;;;;;;;;;;;;;;;;;;;;;
0815-06;CONVULTED, PTFE HOSE, WITH ST/ST BRAID W.P. 138 BAR;Xtraflex;TCB1E010L;138;87000-06;10;15,7;;;;;;;;;;;;;;;;;;;;;;
0815-08;CONVULTED, PTFE HOSE, WITH ST/ST BRAID W.P. 103 BAR;Xtraflex;TCB1E012L;103;87000-08;10;20,9;;;;;;;;;;;;;;;;;;;;;;
0815-08A;CONVULTED, PTFE HOSE, WITH ST/ST BRAID ANTISTATIC;Dicsa;M293013;;;;;;;;;;;;;;;;;;;;;;;;;;
0815-10;CONVULTED, PTFE HOSE, WITH ST/ST BRAID W.P. 83 BAR;Xtraflex;TCB1E016L;83;87000-10;10;23;;;;;;;;;;;;;;;;;;;;;;
0815-12;CONVULTED, PTFE HOSE, WITH ST/ST BRAID W.P. 69 BAR;Xtraflex;TCB1E020L;69;87000-12;10;27;;;;;;;;;;;;;;;;;;;;;;
0815-16;CONVULTED, PTFE HOSE, WITH ST/ST BRAID W.P. 46 BAR;Xtraflex;TCB1E025;46;87000-16;10;34;;;;;;;;;;;;;;;;;;;;;;
0815-16A;CONVULTED, PTFE HOSE, WITH ST/ST BRAID ANTI STATIC;Dicsa;M293025;;;;;;;;;;;;;;;;;;;;;;;;;;
0815-20;CONVULTED, PTFE HOSE, WITH ST/ST BRAID W.P. 34 BAR;Xtraflex;TCB1E032L;34;87000-20;10;40;;;;;;;;;;;;;;;;;;;;;;
0815-24;CONVULTED, PTFE HOSE, WITH ST/ST BRAID W.P. 30 BAR;Dicsa;M292038;30;87000-24;10;47,1;;;;;;;;;;;;;;;;;;;;;;
0815-32;CONVULTED, PTFE HOSE, WITH ST/ST BRAID W.P. 23 BAR;Xtraflex;TCB1E050;23;87000-32;10;59,2;;;;;;;;;;;;;;;;;;;;;;
2020N-025V30;THERMOPLASTIC HIGH PRESSURE HOSE DN 04;Parker;2020N-025V30;;;;;;;;;;;;EX;;;;;;;;;;;;;;
2020N-02V30;THERMOPLASTIC HIGH PRESSURE HOSE DN 03;Parker;2020N-02V30;;;;;;;;;;;;EX;;;;;;;;;;;;;;
2022N-06V91-10K;THERMOPLASTIC HIGH PRESSURE HOSE DN 10;Parker;2022N-06V91-10K;;;;;;;;;;;;8X;;;;;3X;;;;;LX;;;;
2022N-06V91-5K;THERMOPLASTIC HIGH PRESSURE HOSE DN 10;Parker;2022N-06V91-5K;;;;;;;;;;;;8X;;;;;3X;;;;;LX;;;;
2030T-12V70;PTFE-HOSE DN 20;Parker;2030T-12V70;;;;;;;;;;;;F6;25,8;29,0;;;;;;;;;;;;
2040H-03-03V10V10;THERMOPLASTIC HIGH PRESSURE HOSE DN 05 DUPLO;Parker;2040H-03-03V10V10;;;;;;;;;;;;56;11,8;16;;;PX;11,8;25,5;;;;;;;
2040H-03V10;THERMOPLASTIC HIGH PRESSURE HOSE DN 05;Parker;2040H-03V10;;;;;;;;;;;;56;11,8;16;;;PX;11,8;25,5;;;;;;;
2040H-04-04-04V10;THERMOPLASTIC HIGH PRESSURE HOSE DN 06 TRIPPEL;Parker;2040H-04-04-04V10V10V10;;;;;;;;;;;;56;13,8;24;;;PX;13,6;28,5;;;;;;;
2040H-04V10;THERMOPLASTIC HIGH PRESSURE HOSE DN 06;Parker;2040H-04V10;;;;;;;;;;;;56;13,8;24;;;PX;13,6;28,5;;;;;;;
2040H-05-05V10V10;THERMOPLASTIC HIGH PRESSURE HOSE DN 08 TWIN;Parker;2040H-05-05V10V10-DL;;;;;;;;;;;;56;15,8;26;;;PX;16,8;28,5;;;;;;;
2040H-05V10;THERMOPLASTIC HIGH PRESSURE HOSE DN 08;Parker;2040H-05V10;;;;;;;;;;;;56;15,8;26;;;PX;16,8;28,5;;;;;;;
2040H-06V10;THERMOPLASTIC HIGH PRESSURE HOSE DN 10;Parker;2040H-06V10;;;;;;;;;;;;56;17,4;25;;;PX;18,4;29,5;;;;;;;
2040H-08V10;THERMOPLASTIC HIGH PRESSURE HOSE DN 12;Parker;2040H-08V10;;;;;;;;;;;;56;21,6;28;;;PX;22,2;34,5;;;;;;;
2040H-10V10;THERMOPLASTIC HIGH PRESSURE HOSE DN 16;Parker;2040H-10V10;;;;;;;;;;;;56;24,9;31;;;PX;27,3;34,5;;;;;;;
2040N-02V00;MULTI PURPOSE HOSE (1/8) DN03 W.P. 350 BAR;Parker;2040N-02V00;350;;;;;;;;;;;PX;8,5;17,5;;;;;;;;;;;;
2040N-03V00;MULTI PURPOSE HOSE (3/16) DN05 W.P. 340 BAR;Parker;2040N-03V00;340;;;;;;;;;;;56;11,8;16;;;PX;11,8;25,5;;;;;;;
2040N-04V00;MULTI PURPOSE HOSE (1/4) DN06 W.P. 310 BAR;Parker;2040N-04V00;310;;;;;;;;;;;56;13,8;24;;;PX;13,6;28,5;;;;;;;
2040N-05V00;MULTI PURPOSE HOSE (5/16 DN08 W.P. 250 BAR;Parker;2040N-05V00;250;;;;;;;;;;;56;17,4;32;;;;;;;;;;;;
2040N-06V00;MULTI PURPOSE HOSE (3/8) DN10 W.P. 240 BAR;Parker;2040N-06V00;240;;;;;;;;;;;56;17,4;32;;;;;;;;;;;;
2040N-08V00;MULTI PURPOSE HOSE (1/2) DN12 W.P. 185 BAR;Parker;2040N-08V00;185;;;;;;;;;;;56;21,6;35;;;;;;;;;;;;
2040N-10V00;MULTI PURPOSE HOSE (5/8) DN16 W.P. 140 BAR;Parker;2040N-10V00-DL;140;;;;;;;;;;;56;25,1;31;;;PX;27,3;34,5;;;;;;;
2040N-12V00;MULTI PURPOSE HOSE (3/4) DN20 W.P. 125 BAR;Parker;2040N-12V00;125;;;;;;;;;;;56;28,2;34;;;PX;29,3;38,0;;;;;;;
2040N-16V00;MULTI PURPOSE HOSE (1) DN25 W.P. 100 BAR;Parker;2040N-16V00-DL;100;;;;;;;;;;;56;35,2;49;;;PX;36,4;38,0;;;;;;;
221FR-12;5/8 MARINE FUEL;Hydrasun;221FR-12;;;;;;;;;;;;;;;;;;;;;;;;;;
